Composition,Sample A,Sample B,Lattice Parameter (Angstrom),data_source,compound_type,a_stoich_json,b_stoich_json,Temperature,density_calc,is_single_phase,a_site_n_elements,a_site_entropy,a_site_mean_radius,a_site_radius_variance,a_site_radius_std,a_site_delta,a_site_en_mean,a_site_en_variance,a_site_mean_atomic_num,a_site_mean_molar_mass,b_site_n_elements,b_site_entropy,b_site_mean_radius,b_site_radius_variance,b_site_radius_std,b_site_delta,b_site_en_mean,b_site_en_variance,b_site_mean_atomic_num,b_site_mean_molar_mass,a_b_radius_ratio,total_entropy,total_delta,phonon_scattering_factor,n_total_elements,site_asymmetry,en_site_contrast,mass_site_contrast,lattice_volume,density_theoretical
YbHo Ti HP,"Yb,Ho",Ti,10.07653,safin_experimental,high_entropy,"{""Yb"": 0.5, ""Ho"": 0.5}","{""Ti"": 1.0}",,,1.0,2.0,5.762825659175385,1.0,0.00022499999999999875,0.014999999999999958,0.014999999999999958,1.17,0.004899999999999993,68.5,168.985,1.0,-0.0,0.605,0.0,0.0,0.0,1.54,0.0,22.0,47.87,1.6528925619834711,5.762825659175385,0.014999999999999958,0.08644238488763054,3.0,1.0,0.3700000000000001,121.11500000000001,1023.1351534510341,7.085624630841164
YbHoTb Ti HP,"Yb,Ho,Tb",Ti,10.09559,safin_experimental,high_entropy,"{""Yb"": 0.3333333333333333, ""Ho"": 0.3333333333333333, ""Tb"": 0.3333333333333333}","{""Ti"": 1.0}",,,1.0,3.0,9.133862567986663,1.0133333333333332,0.0005055555555555563,0.02248456260538675,0.022188713097421115,1.1866666666666665,0.0038222222222222164,67.33333333333333,165.63333333333333,1.0,-0.0,0.605,0.0,0.0,0.0,1.54,0.0,22.0,47.87,1.6749311294765838,9.133862567986663,0.022188713097421115,0.20266865599233014,4.0,2.0,0.3533333333333335,117.76333333333332,1028.9519968916638,6.959022781528344
YbHoTbNd Ti HP,"Yb,Ho,Tb,Nd",Ti,10.11292,safin_experimental,high_entropy,"{""Yb"": 0.25, ""Ho"": 0.25, ""Tb"": 0.25, ""Nd"": 0.25}","{""Ti"": 1.0}",,,1.0,4.0,11.52565131835077,1.03725,0.002095187500000001,0.04577321815210288,0.04412939807385189,1.175,0.0032749999999999975,65.5,160.285,1.0,-0.0,0.605,0.0,0.0,0.0,1.54,0.0,22.0,47.87,1.7144628099173553,11.52565131835077,0.04412939807385189,0.508620055087917,5.0,3.0,0.365,112.41499999999999,1034.2599676266093,6.78591400866867
YbHoTbNdPr Ti HP,"Yb,Ho,Tb,Nd,Pr",Ti,10.18264,safin_experimental,high_entropy,"{""Yb"": 0.2, ""Ho"": 0.2, ""Tb"": 0.2, ""Nd"": 0.2, ""Pr"": 0.2}","{""Ti"": 1.0}",,,0.0,5.0,13.380866803977112,1.055,0.0029363999999999987,0.054188559678219894,0.0513635636760378,1.166,0.0029439999999999996,64.2,156.41,1.0,-0.0,0.605,0.0,0.0,0.0,1.54,0.0,22.0,47.87,1.743801652892562,13.380866803977112,0.0513635636760378,0.6872890041266588,6.0,4.0,0.3740000000000001,108.53999999999999,1055.7988134779835,6.549963199440989
PrSmGdHoLu TI SDJ,"Pr,Sm,Gd,Ho,Lu",Ti,10.17812,safin_experimental,high_entropy,"{""Pr"": 0.2, ""Sm"": 0.2, ""Gd"": 0.2, ""Ho"": 0.2, ""Lu"": 0.2}","{""Ti"": 1.0}",,,1.0,5.0,13.380866803977112,1.05,0.002635999999999998,0.051341990611973726,0.04889713391616542,1.202,0.002456000000000004,64.60000000000001,157.68400000000003,1.0,-0.0,0.605,0.0,0.0,0.0,1.54,0.0,22.0,47.87,1.7355371900826448,13.380866803977112,0.04889713391616542,0.6542860360284412,6.0,4.0,0.3380000000000001,109.81400000000002,1054.3934531979312,6.590796417357995
SmEuGdTbDy Ti SDJ,"Sm,Eu,Gd,Tb,Dy",Ti,10.184691,safin_experimental,high_entropy,"{""Sm"": 0.2, ""Eu"": 0.2, ""Gd"": 0.2, ""Tb"": 0.2, ""Dy"": 0.2}","{""Ti"": 1.0}",,,1.0,5.0,13.380866803977112,1.053,0.0003380000000000006,0.018384776310850254,0.01745942669596417,1.204,0.00042400000000000077,64.0,156.20000000000002,1.0,-0.0,0.605,0.0,0.0,0.0,1.54,0.0,22.0,47.87,1.7404958677685949,13.380866803977112,0.01745942669596417,0.23362226309249873,6.0,4.0,0.3360000000000001,108.33000000000001,1056.4369229158176,6.540725416470854
PrNdGdYbLu Ti SDJ,"Pr,Nd,Gd,Yb,Lu",Ti,10.175423,safin_experimental,high_entropy,"{""Pr"": 0.2, ""Nd"": 0.2, ""Gd"": 0.2, ""Yb"": 0.2, ""Lu"": 0.2}","{""Ti"": 1.0}",,,1.0,5.0,13.380866803977112,1.05,0.0037639999999999974,0.061351446600711845,0.05842994914353506,1.168,0.0036560000000000004,64.8,158.082,1.0,-0.0,0.605,0.0,0.0,0.0,1.54,0.0,22.0,47.87,1.7355371900826448,13.380866803977112,0.05842994914353506,0.7818433668527992,6.0,4.0,0.3720000000000001,110.21199999999999,1053.5554952000084,6.60607550857892
PrSmGdHoLu Ti HPSDJ,"Pr,Sm,Gd,Ho,Lu",Ti,10.17788,safin_experimental,high_entropy,"{""Pr"": 0.2, ""Sm"": 0.2, ""Gd"": 0.2, ""Ho"": 0.2, ""Lu"": 0.2}","{""Ti"": 1.0}",,,1.0,5.0,13.380866803977112,1.05,0.002635999999999998,0.051341990611973726,0.04889713391616542,1.202,0.002456000000000004,64.60000000000001,157.68400000000003,1.0,-0.0,0.605,0.0,0.0,0.0,1.54,0.0,22.0,47.87,1.7355371900826448,13.380866803977112,0.04889713391616542,0.6542860360284412,6.0,4.0,0.3380000000000001,109.81400000000002,1054.318867185448,6.591262672149747
PrNdGdYbLu Ti HPSDJ,"Pr,Nd,Gd,Yb,Lu",Ti,10.17459,safin_experimental,high_entropy,"{""Pr"": 0.2, ""Nd"": 0.2, ""Gd"": 0.2, ""Yb"": 0.2, ""Lu"": 0.2}","{""Ti"": 1.0}",,,1.0,5.0,13.380866803977112,1.05,0.0037639999999999974,0.061351446600711845,0.05842994914353506,1.168,0.0036560000000000004,64.8,158.082,1.0,-0.0,0.605,0.0,0.0,0.0,1.54,0.0,22.0,47.87,1.7355371900826448,13.380866803977112,0.05842994914353506,0.7818433668527992,6.0,4.0,0.3720000000000001,110.21199999999999,1053.2967718374337,6.607698171929553
SmEuGdTbDy Ti HPSDJ,"Sm,Eu,Gd,Tb,Dy",Ti,10.18337,safin_experimental,high_entropy,"{""Sm"": 0.2, ""Eu"": 0.2, ""Gd"": 0.2, ""Tb"": 0.2, ""Dy"": 0.2}","{""Ti"": 1.0}",,,1.0,5.0,13.380866803977112,1.053,0.0003380000000000006,0.018384776310850254,0.01745942669596417,1.204,0.00042400000000000077,64.0,156.20000000000002,1.0,-0.0,0.605,0.0,0.0,0.0,1.54,0.0,22.0,47.87,1.7404958677685949,13.380866803977112,0.01745942669596417,0.23362226309249873,6.0,4.0,0.3360000000000001,108.33000000000001,1056.0259024419988,6.5432711609015355
PrSmGdHoLu Ti CDTF,"Pr,Sm,Gd,Ho,Lu",Ti,10.17813232,safin_experimental,high_entropy,"{""Pr"": 0.2, ""Sm"": 0.2, ""Gd"": 0.2, ""Ho"": 0.2, ""Lu"": 0.2}","{""Ti"": 1.0}",,,1.0,5.0,13.380866803977112,1.05,0.002635999999999998,0.051341990611973726,0.04889713391616542,1.202,0.002456000000000004,64.60000000000001,157.68400000000003,1.0,-0.0,0.605,0.0,0.0,0.0,1.54,0.0,22.0,47.87,1.7355371900826448,13.380866803977112,0.04889713391616542,0.6542860360284412,6.0,4.0,0.3380000000000001,109.81400000000002,1054.39728204149,6.590772484132028
PrNdGdYbLu CDTF,"Pr,Nd,Gd,Yb,Lu",Ti,10.17715823,safin_experimental,high_entropy,"{""Pr"": 0.2, ""Nd"": 0.2, ""Gd"": 0.2, ""Yb"": 0.2, ""Lu"": 0.2}","{""Ti"": 1.0}",,,1.0,5.0,13.380866803977112,1.05,0.0037639999999999974,0.061351446600711845,0.05842994914353506,1.168,0.0036560000000000004,64.8,158.082,1.0,-0.0,0.605,0.0,0.0,0.0,1.54,0.0,22.0,47.87,1.7355371900826448,13.380866803977112,0.05842994914353506,0.7818433668527992,6.0,4.0,0.3720000000000001,110.21199999999999,1054.0945802715635,6.602697029308756
SmEuGdTbDy Ti CDTF,"Sm,Eu,Gd,Tb,Dy",Ti,10.18087481,safin_experimental,high_entropy,"{""Sm"": 0.2, ""Eu"": 0.2, ""Gd"": 0.2, ""Tb"": 0.2, ""Dy"": 0.2}","{""Ti"": 1.0}",,,1.0,5.0,13.380866803977112,1.053,0.0003380000000000006,0.018384776310850254,0.01745942669596417,1.204,0.00042400000000000077,64.0,156.20000000000002,1.0,-0.0,0.605,0.0,0.0,0.0,1.54,0.0,22.0,47.87,1.7404958677685949,13.380866803977112,0.01745942669596417,0.23362226309249873,6.0,4.0,0.3360000000000001,108.33000000000001,1055.2498313522358,6.548083332796366
SmEuGdTbDy SPS,"Sm,Eu,Gd,Tb,Dy",Ti,10.186104,safin_experimental,high_entropy,"{""Sm"": 0.2, ""Eu"": 0.2, ""Gd"": 0.2, ""Tb"": 0.2, ""Dy"": 0.2}","{""Ti"": 1.0}",,,1.0,5.0,13.380866803977112,1.053,0.0003380000000000006,0.018384776310850254,0.01745942669596417,1.204,0.00042400000000000077,64.0,156.20000000000002,1.0,-0.0,0.605,0.0,0.0,0.0,1.54,0.0,22.0,47.87,1.7404958677685949,13.380866803977112,0.01745942669596417,0.23362226309249873,6.0,4.0,0.3360000000000001,108.33000000000001,1056.8766866204685,6.538003837239651
PrNdGdYbLu SPS,"Pr,Nd,Gd,Yb,Lu",Ti,10.173943,safin_experimental,high_entropy,"{""Pr"": 0.2, ""Nd"": 0.2, ""Gd"": 0.2, ""Yb"": 0.2, ""Lu"": 0.2}","{""Ti"": 1.0}",,,1.0,5.0,13.380866803977112,1.05,0.0037639999999999974,0.061351446600711845,0.05842994914353506,1.168,0.0036560000000000004,64.8,158.082,1.0,-0.0,0.605,0.0,0.0,0.0,1.54,0.0,22.0,47.87,1.7355371900826448,13.380866803977112,0.05842994914353506,0.7818433668527992,6.0,4.0,0.3720000000000001,110.21199999999999,1053.0958478659697,6.608958878598972
