Composition,Sample A,Sample B,Oxidation State A,Oxidation State B,Thermal Conductivity (W/m/K),Lattice Parameter (Å),Vickers Hardness (GPa),CTE (K^-1),Relative Density %,Density Measured,Density Calculated,Energy per Atom,Formation Energy per Atom,Enthalpy,Activation Energy (eV),Magnetic Moment,Band Gap,Band Gap Type,Valence,Bulk Modulus (GPa),Shear Modulus (GPa),Youngs Modulus (GPa),Poisson Ratio,Fracture Toughness (Mpa*m^.5),Specific Heat (Jg^−1K^−1),Thermal Diffusivity  (mm² s⁻¹),High Temp CTE,AEL Debye Temperature,Temperature (K),Energy Above Hull,Ionic Radius A (Å),Ionic Radius B (Å),rA/rB (Å),Size disorder (δ %),Porosity (%),Grain Size (μm),Electronegativity A,Electronegativity B,Synthesis Method,compound_type,data_source
Bi2Os2O7,Bi,Os,3.0,4.0,,10.5427,,,,,10.3204,-6.48016,,-6.48016,,0.363217,0.0,half-metal,80.0,,,,,,,,,,,,1.17,0.63,,,,,2.02,2.2,DFT,pristine,aflow
Bi2Pt2O7,Bi,Pt,3.0,4.0,2.68623,10.52845,,,,,10.4735,-5.468465,,-5.468465,,0.0,1.0688499999999999,insulator-indirect,72.0,176.456,78.0858,204.145,0.30718,,,,,376.326,,,1.17,0.625,,,,,2.02,2.28,DFT,pristine,aflow
Bi2Rh2O7,Bi,Rh,3.0,4.0,2.65083,10.3891,,,,,8.71659,-5.69159,,-5.69159,,0.0,0.0,metal,72.0,172.622,70.5491,186.271,0.320155,,,,,397.336,,,1.17,0.6,,,,,2.02,2.28,DFT,pristine,aflow
Bi2Ru2O7,Bi,Ru,3.0,4.0,5.56583,10.483416666666667,,,,,8.441805,-6.124216666666666,,-6.124216666666666,,0.3030218333333333,0.0,"half-metal, metal",80.0,171.0195,83.61845,215.147,0.290246,,,,,433.66499999999996,,,1.17,0.62,,,,,2.02,2.2,DFT,pristine,aflow
Sn2Bi2O7,Bi,Sn,3.0,4.0,2.57219,10.845233333333333,,,,,7.991153333333333,-5.907666666666667,,-5.907666666666667,,0.0,2.622733333333333,insulator-indirect,64.0,146.417,66.7544,173.844,0.302113,,,,,386.678,,,1.17,0.69,,,,,2.02,1.96,DFT,pristine,aflow
Ti2Bi2O7,Bi,Ti,3.0,4.0,3.89553,10.4728,,,,,7.23694,-7.037265,,-7.037265,,0.0,2.8933999999999997,insulator-indirect,64.0,168.367,74.5479,194.881,0.307087,,,,,444.704,,,1.17,0.605,,,,,2.02,1.54,DFT,pristine,aflow
Ca2Nb2O7,Ca,Nb,2.0,5.0,8.92748,10.53615,,,,,4.29289,-8.01924,,-8.01924,,0.0,1.7707000000000002,insulator-direct,56.0,142.278,92.6434,228.364,0.23249,,,,,639.795,,,1.12,0.64,,,,,1.0,1.6,DFT,pristine,aflow
Ca2Ru2O7,Ca,Ru,2.0,5.0,,10.3491,,,,,4.72556,-6.3851,,-6.3851,,0.545259,0.0,half-metal,68.0,,,,,,,,,,,,1.12,0.565,,,,,1.0,2.2,DFT,pristine,aflow
Ca2Ta2O7,Ca,Ta,2.0,5.0,8.30922,10.5611,,,,,6.24837,-8.43551,,-8.43551,,0.0,2.4623,insulator-direct,56.0,148.233,97.7883,240.483,0.229612,,,,,543.52,,,1.12,0.64,,,,,1.0,1.5,DFT,pristine,aflow
Nb2Cd2O7,Cd,Nb,2.0,5.0,4.167725,10.48016,,,,,6.034097999999999,-6.939546,,-6.939546,,0.0,2.0695,insulator-indirect,56.0,164.85000000000002,66.98485,175.6015,0.318059,,,,,457.4325,,,1.1,0.64,,,,,1.69,1.6,DFT,pristine,aflow
Cd2Os2O7,Cd,Os,2.0,5.0,,10.343146153846153,,,,,8.610566923076924,-5.834991538461539,,-5.834991538461539,,0.5449436923076924,0.0,metal,68.0,,,,,,,,,,,,1.1,0.575,,,,,1.69,2.2,DFT,pristine,aflow
Cd2Re2O7,Cd,Re,2.0,5.0,,10.3749,,,,,8.43657,-6.39711,,-6.39711,,0.363636,0.0,half-metal,64.0,,,,,,,,,,,,1.1,0.58,,,,,1.69,1.9,DFT,pristine,aflow
Cd2Ru2O7,Cd,Ru,2.0,5.0,,10.2978,,,,,6.55629,-5.37023,,-5.37023,,0.54467,0.0,metal,68.0,,,,,,,,,,,,1.1,0.565,,,,,1.69,2.2,DFT,pristine,aflow
Ta2Cd2O7,Cd,Ta,2.0,5.0,5.6234,10.53495,,,,,7.938465,-7.3832450000000005,,-7.3832450000000005,,0.0,2.11695,insulator-indirect,56.0,154.061,83.8562,212.935,0.269643,,,,,447.629,,,1.1,0.64,,,,,1.69,1.5,DFT,pristine,aflow
Cd2Tc2O7,Cd,Tc,2.0,5.0,,10.3363,,,,,6.4313,-5.89121,,-5.89121,,0.363774,0.0,half-metal,64.0,,,,,,,,,,,,1.1,0.6,,,,,1.69,1.9,DFT,pristine,aflow
Ce2Hf2O7,Ce,Hf,3.0,4.0,,10.72,,,,,8.07,,,,,,,,,,,,,,,,,,,,1.143,0.71,1.61,,,,1.12,1.3,nan,pristine,literature_extraction
Ce2Zr2O7,Ce,Zr,3.0,4.0,3.0,10.88522857142857,,,,,5.919001428571429,-9.007245714285714,,-9.007245714285714,,0.18181,3.0009,insulator-direct,60.0,,,,,,,,,,,,1.143,0.72,,,,,1.12,1.33,DFT,pristine,"aflow, literature_extraction"
Dy2Hf2O7,Dy,Hf,3.0,4.0,5.90862,10.50315,,,,,9.103075,-9.374025,,-9.374025,,0.0,3.22585,insulator-indirect,60.0,173.039,97.2411,245.699,0.263349,,,,,451.486,,,1.027,0.71,,,,,1.23,1.3,DFT,pristine,aflow
Dy2Ru2O7,Dy,Ru,3.0,4.0,4.26953,10.2617,,,,,7.85734,-7.36566,,-7.36566,,0.363662,0.553,insulator-indirect,76.0,189.467,89.748,232.529,0.295453,,,,,477.88,,,1.027,0.62,,,,,1.23,2.2,DFT,pristine,aflow
Dy2Sn2O7,Dy,Sn,3.0,4.0,4.15721,10.5885,,,,,7.5463000000000005,-7.10839,,-7.10839,,0.0,2.2102,insulator-direct,60.0,160.956,87.0731,221.311,0.270836,,,,,465.501,,,1.027,0.69,,,,,1.23,1.96,DFT,pristine,aflow
Dy2Tc2O7,Dy,Tc,3.0,4.0,5.00051,10.3373,,,,,7.63422,-7.88166,,-7.88166,,0.545465,1.3957,insulator-indirect_spin-polarized,72.0,186.522,95.8064,245.403,0.280721,,,,,497.247,,,1.027,0.645,,,,,1.23,1.9,DFT,pristine,aflow
Dy2Ti2O7,Dy,Ti,3.0,4.0,3.6509866666666664,10.113900000000001,13.43,,97.80000000000001,6.644666666666667,36.827283333333334,-8.27656,,-8.27656,,0.0,3.2411,insulator-indirect,60.0,185.922,102.479,275.4095,0.27358950000000004,0.987,,0.96,,558.223,,,1.027,0.605,1.6989999999999998,,,,1.23,1.54,DFT,pristine,"aflow, literature_extraction"
Er2Hf2O7,Er,Hf,3.0,4.0,5.98782,10.4568,,,,,9.33528,-9.36257,,-9.36257,,0.0,3.0089,insulator-indirect,56.0,172.767,97.5229,246.237,0.262457,,,,,448.492,,,1.004,0.71,,,,,1.24,1.3,DFT,pristine,aflow
Er2Mn2O7,Er,Mn,3.0,4.0,,9.9871,,,,,7.41997,-7.79849,,-7.79849,,0.545491,0.9107,insulator-indirect,68.0,,,,,,,,,,,,1.004,0.53,,,,,1.24,1.55,DFT,pristine,aflow
Er2Ru2O7,Er,Ru,3.0,4.0,4.33276,10.2086,,,,,8.09935,-7.37072,,-7.37072,,0.363641,0.555,insulator-indirect,72.0,191.189,90.4173,234.315,0.295739,,,,,474.893,,,1.004,0.62,,,,,1.24,2.2,DFT,pristine,aflow
Er2Sn2O7,Er,Sn,3.0,4.0,4.27273,10.5375,,,,,7.76459,-7.10082,,-7.10082,,0.0,2.173,insulator-direct,56.0,161.939,88.3115,224.183,0.269272,,,,,464.382,,,1.004,0.69,,,,,1.24,1.96,DFT,pristine,aflow
Er2Tc2O7,Er,Tc,3.0,4.0,5.35573,10.2867,,,,,7.86351,-7.88249,,-7.88249,,0.545477,1.2928,insulator-indirect_spin-polarized,68.0,185.906,99.3199,252.919,0.273255,,,,,501.298,,,1.004,0.645,,,,,1.24,1.9,DFT,pristine,aflow
