Composition,Sample A,Sample B,Thermal Conductivity (W/m/K),Lattice Parameter (Angstrom),Density,Energy per Atom,Formation Energy per Atom,Enthalpy,Magnetic Moment,Band Gap,Band Gap Type,Valence,Bulk Modulus (VRH),Shear Modulus (VRH),Youngs Modulus (VRH),Poisson Ratio,AEL Debye Temperature,Temperature,Thermal Expansion,Energy Above Hull,Ionic Radius A (Angstrom),Ionic Radius B (Angstrom),Electronegativity A,Electronegativity B,Synthesis Method,compound_type,data_source
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mn2Al2O7,,,,9.399346,,,-2.254900836896551,,,,,,,,,,,,,,,0.53,1.61,1.55,,,
Al2Sn2O7,,,,9.940218,,,-2.160868516363635,,,,,,,,,,,,,,,0.69,1.61,1.96,,,
Ti2Al2O7,,,,9.586782,,,-2.9449983001515143,,,,,,,,,,,,,,,0.605,1.61,1.54,,,
Am2Zr2O7,,,,10.660798333333332,,,,,,,,,,,,,,,,,1.09,0.72,1.3,1.33,,,
Bi2Ir2O7,,,,10.25242,,,,,,,,,,,,,,,,,1.17,0.625,2.02,2.2,,,
Bi2Os2O7,,,,10.4511085,,,-1.486731913636363,,,,,,,,,,,,,,1.17,0.63,2.02,2.2,,,
Bi2Pt2O7,,,2.68623,10.442662600000002,,,-1.330811493636362,,,,,,176.456,78.0858,204.145,0.31059,,,,,1.17,0.625,2.02,2.28,,,
Bi2Ru2O6.952,,,,10.2932875,,,,,,,,,,,,,,,,,1.17,0.62,2.02,2.2,,,
Sn2Bi2O7,,,2.57219,10.78943525,,,-1.924906653181814,,,,,,146.417,66.7544,173.844,0.302113,,,,,1.17,0.69,2.02,1.96,,,
Ti2Bi2O7,,,3.89553,10.405731777777778,,,-2.634991118333333,,,,,,168.367,74.5479,194.881,0.307087,,,,,1.17,0.605,2.02,1.54,,,
Zr2Bi2O7,,,,10.826368,,,-2.769714892272728,,,,,,,,,,,,,,1.17,0.72,2.02,1.33,,,
Ce2Sn2O7,,,,10.57655,,,,,,,,,,,,,,,,,1.143,0.69,1.12,1.96,,,
Ce2Ti2O7,,,,10.363836,,,-3.660334544696968,,,,,,,,,,,,,,1.143,0.605,1.12,1.54,,,
Ce2Zr2O7,,,,10.81618153846154,,,-3.813959809090908,,,,,,,,,,,,,,1.143,0.72,1.12,1.33,,,
Co2Pb2O7,,,,9.95776,,,,,,,,,,,,,,,,,,0.775,1.88,2.33,,,
Dy2Hf2O7,,,5.90862,10.457089200000002,,,-4.012424123030301,,,,,,173.039,97.2411,245.699,0.263349,,,,,1.027,0.71,1.23,1.3,,,
Dy2Mn2O7,,,,9.897566,,,-2.893416257199581,,,,,,,,,,,,,,1.027,0.53,1.23,1.55,,,
Dy2Mo2O7,,,,10.2658655,,,-2.911589593484849,,,,,,,,,,,,,,1.027,0.65,1.23,2.16,,,
Dy2Pb2O7,,,,10.658802,,,-2.5488151693939383,,,,,,,,,,,,,,1.027,0.775,1.23,2.33,,,
Dy2Pt2O7,,,,10.188881,,,-2.458439323939394,,,,,,,,,,,,,,1.027,0.625,1.23,2.28,,,
Dy2Ru2O7,,,,10.1658,,,,,,,,,,,,,,,,,1.027,0.62,1.23,2.2,,,
Dy2Sn2O7,,,4.15721,10.474957,,,-3.027287646212119,,,,,,160.956,87.0731,221.311,0.270836,,,,,1.027,0.69,1.23,1.96,,,
Dy2Tc2O7,,,5.00051,10.30009,,,-2.823644789848484,,,,,,186.522,95.8064,245.403,0.280721,,,,,1.027,0.645,1.23,1.9,,,
Dy2Ti2O7,,,6.58296,10.139904538461538,,,-3.77932238863643,,,,,,185.922,102.479,259.719,0.267179,,,,,1.027,0.605,1.23,1.54,,,
Dy2Zr2O7,,,,10.522811,,,-3.864660388030302,,,,,,,,,,,,,,1.027,0.72,1.23,1.33,,,
Er2Hf2O7,,,5.98782,10.455252,,,-4.01010348590909,,,,,,172.767,97.5229,246.237,0.262457,,,,,1.004,0.71,1.24,1.3,,,
Er2Mn2O7,,,,9.897749666666666,,,-2.915723314623823,,,,,,,,,,,,,,1.004,0.53,1.24,1.55,,,
Er2Pb2O7,,,,10.601927,,,-2.547577461818181,,,,,,,,,,,,,,1.004,0.775,1.24,2.33,,,
Er2Pt2O7,,,,10.125902,,,-2.478018743636361,,,,,,,,,,,,,,1.004,0.625,1.24,2.28,,,
Er2Ru2O7,,,,10.1063,,,,,,,,,,,,,,,,,1.004,0.62,1.24,2.2,,,
