Composition,Sample A,Sample B,a_stoich_json,b_stoich_json,Vickers Hardness (GPa),Ionic Radius A (Å),Ionic Radius B (Å),rA/rB (Å),compound_type,data_source,ROM_Lattice_Parameter,ROM_Lattice_Distortion,ROM_Ionic_Radius_A,ROM_Ionic_Radius_B,ROM_Radius_Ratio_rA_rB,ROM_Electronegativity_A,ROM_Electronegativity_B,ROM_Electronegativity_Diff,ROM_Lattice_Distortion_A,ROM_Lattice_Distortion_B,ROM_Bulk_Modulus_GPa,ROM_Shear_Modulus_GPa,ROM_Youngs_Modulus_GPa,ROM_Poisson_Ratio,ROM_Thermal_Conductivity_W_mK,ROM_Vickers_Hardness,ROM_Fracture_Toughness,ROM_Thermal_Diffusivity,ROM_Pyrochlore_Stable
(Ho0.5Y0.5)2Ti2O7,"Ho,Y",Ti,"{""Ho"": 0.5, ""Y"": 0.5}","{""Ti"": 1.0}",15.5,1.017,0.605,1.680995867768595,high_entropy,literature_extraction,10.143308333333334,0.014444662614186721,1.017,0.605,1.68099173553719,1.23,1.54,0.31000000000000005,0.18864065531689045,0.18864065531689045,182.45,100.536,281.02675,0.27680899999999997,3.12844,12.825,1.2825,0.82,True
(Dy0.3333Ho0.3333Y0.3333)2Ti2O7,"Dy,Ho,Y",Ti,"{""Ho"": 0.3333333333333333, ""Y"": 0.3333333333333333, ""Dy"": 0.3333333333333333}","{""Ti"": 1.0}",15.81,1.0201666666666667,0.605,1.686250688705234,high_entropy,literature_extraction,10.133505555555555,0.016393361735628602,1.0203333333333333,0.605,1.6865013774104682,1.23,1.54,0.31000000000000005,0.19253656044739498,0.19253656044739498,184.18599999999998,101.50750000000001,279.1543333333333,0.2757358333333333,3.3026222222222215,13.026666666666666,1.184,0.8899999999999999,True
(Dy0.25Gd0.25Ho0.25Y0.25)2Ti2O7,"Dy,Gd,Ho,Y",Ti,"{""Ho"": 0.25, ""Y"": 0.25, ""Dy"": 0.25, ""Gd"": 0.25}","{""Ti"": 1.0}",15.47,1.0282499999999999,0.605,1.7,high_entropy,literature_extraction,10.158597916666666,0.026233114929123263,1.0285,0.605,1.7,1.2225,1.54,0.31750000000000006,0.20208152801713064,0.20208152801713064,185.16533333333334,99.7814,271.664875,0.27665654166666664,3.314768541666666,12.4855,1.25725,0.8888888888888888,True
(Dy0.2Eu0.2Gd0.2Ho0.2Y0.2)2Ti2O7,"Dy,Eu,Gd,Ho,Y",Ti,"{""Ho"": 0.2, ""Y"": 0.2, ""Dy"": 0.2, ""Gd"": 0.2, ""Eu"": 0.2}","{""Ti"": 1.0}",15.88,1.036,0.605,1.712198347107438,high_entropy,literature_extraction,10.193378333333333,0.03979184526163815,1.036,0.605,1.712396694214876,1.218,1.5400000000000003,0.32200000000000006,0.21084731456076566,0.21084731456076566,185.1653333333333,99.78139999999999,273.8919,0.27732523333333337,3.3147685416666666,11.7954,1.2826,0.8888888888888887,True
(Gd0.3333La0.3333Nd0.3333)2Zr2O7,"Gd,La,Nd",Zr,"{""La"": 0.3333333333333333, ""Nd"": 0.3333333333333333, ""Gd"": 0.3333333333333333}","{""Zr"": 1.0}",10.2,0.6466,0.39599999999999996,1.5901805555555555,high_entropy,literature_extraction,10.730540560344826,0.030627871805844423,1.1824999999999999,0.72,1.642361111111111,1.1466666666666665,1.33,0.1833333333333334,0.16132467882373946,0.16132467882373946,166.759,87.3323,206.68955555555556,0.2777383333333333,2.7919711111111107,10.388571428571428,1.124285714285714,0.8366666666666667,True
(Gd0.3333La0.3333Nd0.3333)2(Ce0.25Zr0.75)2O7,"Gd,La,Nd","Ce,Zr","{""La"": 0.3333333333333333, ""Nd"": 0.3333333333333333, ""Gd"": 0.3333333333333333}","{""Zr"": 0.75, ""Ce"": 0.25}",10.6,0.1107,0.07575,1.462,high_entropy,literature_extraction,10.494970494439873,0.02382353911462239,1.088729411764706,0.6658823529411765,1.6407778317938746,1.167377450980392,1.4288235294117646,0.26144607843137263,0.16020513128200917,0.16020513128200917,174.09156565656565,92.82318484848486,234.6578964876033,0.27549084873737373,2.691430573168973,10.778906264323911,1.2628930801521712,0.854361705288176,
(Eu0.2Gd0.2La0.2Nd0.2Sm0.2)2Zr2O7,"Eu,Gd,La,Nd,Sm",Zr,"{""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Gd"": 0.2, ""Eu"": 0.2}","{""Zr"": 1.0}",10.7,0.62392,0.39599999999999996,1.550125,high_entropy,literature_extraction,10.73778042025862,0.03195570472551874,1.1385,0.72,1.58125,1.162,1.33,0.1680000000000001,0.11811259775122851,0.11811259775122851,166.75899999999996,87.3323,210.04216666666667,0.2777383333333333,2.603978333333333,10.38857142857143,1.124285714285714,0.8366666666666666,True
(Ce0.2381Gd0.1905La0.1905Nd0.1905Sm0.1905)2(Eu0.2105Zr0.7895)2O7,"Ce,Gd,La,Nd,Sm","Eu,Zr","{""La"": 0.19047619047619047, ""Nd"": 0.19047619047619047, ""Sm"": 0.19047619047619047, ""Gd"": 0.19047619047619047, ""Ce"": 0.23809523809523808}","{""Zr"": 0.7894736842105263, ""Eu"": 0.2105263157894737}",11.2,0.10934,0.07575,1.443,high_entropy,literature_extraction,10.494970494439873,0.02382353911462239,1.088729411764706,0.6658823529411765,1.6407778317938746,1.167377450980392,1.4288235294117646,0.26144607843137263,0.16020513128200917,0.16020513128200917,174.09156565656565,92.82318484848486,234.6578964876033,0.27549084873737373,2.691430573168973,10.778906264323911,1.2628930801521712,0.854361705288176,
(Er0.2Gd0.2La0.2Nd0.2Yb0.2)2Zr2O7,"Er,Gd,La,Nd,Yb",Zr,"{""La"": 0.2, ""Nd"": 0.2, ""Gd"": 0.2, ""Er"": 0.2, ""Yb"": 0.2}","{""Zr"": 1.0}",11.705,1.08465,0.72,1.5064583333333332,high_entropy,literature_extraction,10.730540560344826,0.030627871805844423,1.1073,0.72,1.5379166666666666,1.156,1.33,0.17400000000000004,0.08747130389981117,0.08747130389981117,166.75899999999996,87.3323,206.68955555555553,0.2777383333333333,2.347182666666667,10.939142857142858,1.2525714285714287,0.766,True
(La0.5Yb0.5)2Zr2O7,"La,Yb",Zr,"{""La"": 0.5, ""Yb"": 0.5}","{""Zr"": 1.0}",10.8,1.18525,0.72,1.6461805555555555,high_entropy,literature_extraction,10.85213793103448,0.0,1.18525,0.72,1.6461805555555555,1.1,1.33,0.22999999999999998,0.1640254338907714,0.1640254338907714,155.689,81.8649,211.19466666666665,0.276298,2.20481,10.502857142857144,1.3764285714285713,0.8400000000000001,True
