CollectionCode,HMS,StructuredFormula,StructureType,Reference,CellParameter,Temperature,ANXFormula,ChemicalName,MineralGroup,MineralSuperGroup,CalculatedDensity(g/cm3),PublicationYear,Pdf,DOI or Link,
1457,F d -3 m Z,Sc2 (Si2 O7),Ca2Nb2O7,"Journal of Solid State Chemistry (1977) 20,  p. 219-226",9.287(3) 9.287(3) 9.287(3) 90. 90. 90.,293,A2B2X7,Discandium disilicate - HP,,,4.28,1977,01-070-0670,https://doi.org/10.1016/0022-4596(77)90157-8,
1458,F d -3 m Z,In2 (Si2 O7),Ca2Nb2O7,"Journal of Solid State Chemistry (1977) 20,  p. 219-226",9.413(3) 9.413(3) 9.413(3) 90. 90. 90.,293,A2B2X7,Diindium disilicate - HP,,,6.34,1977,01-070-0671,https://doi.org/10.1016/0022-4596(77)90157-8,
4657,F d -3 m Z,Gd2 Ti2 O7,Ca2Nb2O7,"Advances in Applied Ceramics (2016) 115, (7) p. 411-416",10.166 10.166 10.166 90. 90. 90.,293,A2B2X7,Digadolinium dititanate,,,6.6,2016,01-087-3143,https://doi.org/10.1080/17436753.2016.1172167,
4658,F d -3 m Z,Gd1.95 Ce0.05 Ti2 O7,Ca2Nb2O7,"Advances in Applied Ceramics (2016) 115, (7) p. 411-416",10.1708 10.1708 10.1708 90. 90. 90.,293,A2B2X7,Gadolinium-1.95 cerium-0.05 dititanate,,,6.58,2016,01-087-3144,,
4659,F d -3 m Z,Gd1.9 Ce0.1 Ti2 O7,Ca2Nb2O7,"Advances in Applied Ceramics (2016) 115, (7) p. 411-416",10.1755 10.1755 10.1755 90. 90. 90.,293,A2B2X7,Gadolinium-1.9 cerium-0.1 dititanate,,,6.56,2016,01-087-3145,,
4660,F d -3 m Z,Gd1.8 Ce0.2 Ti2 O7,Ca2Nb2O7,"Advances in Applied Ceramics (2016) 115, (7) p. 411-416",10.1846 10.1846 10.1846 90. 90. 90.,293,A2B2X7,Gadolinium-1.8 cerium-0.2 dititanate,,,6.52,2016,01-087-3146,,
4661,F d -3 m Z,Gd1.75 Ce0.25 Ti2 O7,Ca2Nb2O7,"Advances in Applied Ceramics (2016) 115, (7) p. 411-416",10.194 10.194 10.194 90. 90. 90.,293,A2B2X7,Gadolinium-1.75 cerium-0.25 dititanate,,,6.5,2016,01-087-3147,,
4662,F d -3 m Z,Gd1.5 Ce0.5 Ti2 O7,Ca2Nb2O7,"Advances in Applied Ceramics (2016) 115, (7) p. 411-416",10.2066 10.2066 10.2066 90. 90. 90.,293,A2B2X7,Gadolinium-1.5 cerium-0.5 dititanate,,,6.42,2016,01-087-3148,,
4663,F d -3 m Z,Gd1.2 Ce0.8 Ti2 O7,Ca2Nb2O7,"Advances in Applied Ceramics (2016) 115, (7) p. 411-416",10.2297 10.2297 10.2297 90. 90. 90.,293,A2B2X7,Gadolinium-1.2 cerium-0.8 dititanate,,,6.31,2016,01-087-3149,,
4816,F d -3 m Z,Nd2 Ru2 O7,Ca2Nb2O7,"Journal of Physics: Condensed Matter (2018) 30, (15)  Article ID 155601 (p. 1-11)",10.3544(5) 10.3544(5) 10.3544(5) 90. 90. 90.,295,A2B2X7,Dineodymium heptaoxodiruthenate(IV),,,7.21,2018,01-087-3200,https://doi.org/10.1088/1361-648X/aab398,
4817,F d -3 m Z,(La1.9 Eu0.1) Hf2 O7,Ca2Nb2O7,"Inorganic Chemistry (2018) 57, (18) p. 11815-11830",10.765(1) 10.765(1) 10.765(1) 90. 90. 90.,293,A2B2X7,Lanthanum-1.9 europium-0.1 heptaoxo-dihafnate,,,7.97,2018,01-087-3201,https://doi.org/10.1021/acs.inorgchem.8b01983,
5111,F d -3 m Z,(Ca1.11 Sb0.69 Sn0.2) (Ti0.9 Nb0.7 Ta0.4) O7,Ca2Nb2O7,"Canadian Mineralogist (1979) 17,  p. 583-588",10.351 10.351 10.351 90. 90. 90.,293,A2B2X7,Calcium antimony tiantium niobiun tantalum oxide hydroxide *,Pyrochlore Group,Pyrochlore Supergroup,5.33,1979,01-085-4083,https://www.researchgate.net/profile/Frank-Hawthorne/publication/299451838_STIBIOBETAFITE_A_NEW_MEMBER_OF_THE_PYROCHLORE_GROUP_FROM_VEZNA_CZECHOSTOVAKIA/links/56f8acbd08ae81582bf3a3fa/STIBIOBETAFITE-A-NEW-MEMBER-OF-THE-PYROCHLORE-GROUP-FROM-VEZNA-CZECHOSTOVAKIA.pdf,
5984,F d -3 m Z,Yb2 (Ti2 O7),Ca2Nb2O7,"Physical Review B: Condensed Matter and Materials Physics (2017) 96, (21)  Article ID 214415 (p. 1-11)",10.01275(2) 10.01275(2) 10.01275(2) 90. 90. 90.,2,A2B2X7,Diytterbium dititanate,,,7.33,2017,01-088-3772,https://doi.org/10.1103/PhysRevB.96.214415,
5985,F d -3 m Z,Yb2 (Ti2 O7),Ca2Nb2O7,"Physical Review B: Condensed Matter and Materials Physics (2017) 96, (21)  Article ID 214415 (p. 1-11)",10.01273(2) 10.01273(2) 10.01273(2) 90. 90. 90.,2,A2B2X7,Diytterbium dititanate,,,7.33,2017,,,
5986,F d -3 m Z,Yb2 (Ti2 O7),Ca2Nb2O7,"Physical Review B: Condensed Matter and Materials Physics (2017) 96, (21)  Article ID 214415 (p. 1-11)",10.02061(2) 10.02061(2) 10.02061(2) 90. 90. 90.,150,A2B2X7,Diytterbium dititanate,,,7.31,2017,,,
5987,F d -3 m Z,Yb2 (Ti2 O7),Ca2Nb2O7,"Physical Review B: Condensed Matter and Materials Physics (2017) 96, (21)  Article ID 214415 (p. 1-11)",10.02059(2) 10.02059(2) 10.02059(2) 90. 90. 90.,150,A2B2X7,Diytterbium dititanate,,,7.31,2017,01-088-3773,,
7220,F d -3 m Z,Yb2 Ge2 O7,Ca2Nb2O7,"Inorganic Chemistry (2018) 57, (20) p. 12456-12460",9.8297(7) 9.8297(7) 9.8297(7) 90 90 90,299,A2B2X7,Diyttrium heptaoxo-digermanate,,,8.44,2018,01-087-3348,https://doi.org/10.1021/acs.inorgchem.8b01810,
7221,F d -3 m Z,Lu2 Ge2 O7,Ca2Nb2O7,"Inorganic Chemistry (2018) 57, (20) p. 12456-12460",9.8165(2) 9.8165(2) 9.8165(2) 90 90 90,299,A2B2X7,Dilutetium heptaoxo-digermanate,,,8.53,2018,01-087-3349,,
8818,F d -3 m Z,Eu2 Ti2 O7,Ca2Nb2O7,"Journal of Magnetism and Magnetic Materials (2019) 476,  p. 7-17",10.18645(8) 10.18645(8) 10.18645(8) 90. 90. 90.,300,A2B2X7,Dieuropium dititanate,,,6.43,2019,01-088-4483,https://doi.org/10.1016/j.jmmm.2018.12.046,
8819,F d -3 m Z,Eu1.9 Fe0.1 Ti2 O7,Ca2Nb2O7,"Journal of Magnetism and Magnetic Materials (2019) 476,  p. 7-17",10.1722 10.1722 10.1722 90. 90. 90.,300,A2B2X7,Europium iron(III) dititanate,,,6.34,2019,01-088-4484,,
8820,F d -3 m Z,Eu1.8 Fe0.2 Ti2 O7,Ca2Nb2O7,"Journal of Magnetism and Magnetic Materials (2019) 476,  p. 7-17",10.1570 10.1570 10.1570 90. 90. 90.,300,A2B2X7,Europium iron(III) dititanate,,,6.24,2019,01-088-4485,,
9714,F d -3 m Z,Cd2 (Nb2 O7),Ca2Nb2O7,"Canadian Journal of Chemistry (1972) 50,  p. 3648-3666",10.372(1) 10.372(1) 10.372(1) 90. 90. 90.,293,A2B2X7,Dicadmium diniobate,,,6.22,1972,01-071-1100,https://doi.org/10.1139/v72-580,
9715,F d -3 m Z,Cd2 Ta2 O7,Ca2Nb2O7,"Canadian Journal of Chemistry (1972) 50,  p. 3648-3666",10.375(1) 10.375(1) 10.375(1) 90. 90. 90.,293,A2B2X7,Dicadmium ditantalum oxide,,,8.31,1972,01-071-1101,,
11801,F d -3 m Z,(Bi1.5 Cr0.5) Ti2 O7,Ca2Nb2O7,"Inorganic Chemistry (2019) 58, (15) p. 9904-9915",10.34214(20) 10.34214(20) 10.34214(20) 90. 90. 90.,293,A2B2X7,Bismuth chromium dititanate,,,6.57,2019,01-088-2742,https://doi.org/10.1021/acs.inorgchem.9b01057,
13424,F d -3 m Z,Ca2 Bi2 O7,Ca2Nb2O7,"Inorganic Chemistry (2019) 58, (3) p. 1759-1763",10.75021(5) 10.75021(5) 10.75021(5) 90 90 90,300,A2B2X7,Dicalcium heptaoxo-dibismuthate,,,6.52,2019,01-088-3167,https://doi.org/10.1021/acs.inorgchem.8b03596,
13425,F d -3 m Z,Sr2 Bi2 O7,Ca2Nb2O7,"Inorganic Chemistry (2019) 58, (3) p. 1759-1763",10.94132(6) 10.94132(6) 10.94132(6) 90 90 90,300,A2B2X7,Distrontium heptaoxo-dibismuthate,,,7.15,2019,01-088-3168,,
14242,F d -3 m Z,Y2 Ti2 O7,Ca2Nb2O7,"Zeitschrift fuer Kristallographie (1970) 131,  p. 278-288",10.0896(14) 10.0896(14) 10.0896(14) 90. 90. 90.,293,A2B2X7,Diyttrium dititanium oxide,,,4.99,1970,01-071-2065,https://doi.org/10.1524/zkri.1970.131.16.278,
14785,F d -3 m Z,Ce2 Sn2 O7,Ca2Nb2O7,"Journal of Materials Chemistry A: Materials for Energy and Sustainability (2020) 8, (11) p. 5744-5749",10.5111(3) 10.5111(3) 10.5111(3) 90. 90. 90.,293,A2B2X7,Dicerium ditin heptoxide,,,7.2,2020,01-090-0707,https://doi.org/10.1039/C9TA13602A,
14955,F d -3 m Z,Cd Nb O3.39 S0.11,Ca2Nb2O7,"Chemistry of Materials (2019) 31, (18) p. 7626-7637",10.521513(8) 10.521513(8) 10.521513(8) 90 90 90,340,A2B2X7,Cadmium niobium oxide sulfide,,,6,2019,01-090-0860,https://doi.org/10.1021/acs.chemmater.9b02466,
15307,F d -3 m Z,Pb2 Sn2 O6 H2 O,K1-xNb2O7(OH)1+y,"Annales de Chimie (Cachan, France) (1971) 1971,  p. 109-124",10.7186(10) 10.7186(10) 10.7186(10) 90. 90. 90.,293,A2B2X7,Dilead ditin(IV) oxide hydrate,,,8.26,1971,01-072-0001,N/A,
15633,F d -3 m Z,(Y2 O3) (Ti O2)2,Ca2Nb2O7,"Zeitschrift fuer Naturforschung, Teil B: Anorganische Chemie, Organische Chemie, Biochemie, Biophysik, Biologie (1969) 24,  p. 259",10.0896(50) 10.0896 10.0896 90. 90. 90.,293,A2B2X7,Yttrium oxide - titanium oxide (1/2),,,4.99,1969,01-072-0302,https://doi.org/10.1515/znb-1969-0227,
19637,F d -3 m Z,Bi2 Ti2 O7,Bi2Ti2O7,"Inorganic Chemistry (2020) 59, (17) p. 12385-12396",10.3823(3) 10.3823(3) 10.3823(3) 90. 90. 90.,298,A2B2X7,Bismuth dititanate,,,7.43,2020,01-090-2302,https://doi.org/10.1021/acs.inorgchem.0c01472,
19639,F d -3 m Z,Bi2 Ti2 O7,Ca2Nb2O7,"Inorganic Chemistry (2020) 59, (17) p. 12385-12396",10.3833(3) 10.3833(3) 10.3833(3) 90. 90. 90.,298,A2B2X7,Bismuth dititanate,,,7.43,2020,01-090-2304,,
19641,F d -3 m Z,Bi2 Ti2 O7,Ca2Nb2O7,"Inorganic Chemistry (2020) 59, (17) p. 12385-12396",10.3824(3) 10.3824(3) 10.3824(3) 90. 90. 90.,298,A2B2X7,Bismuth dititanate,,,7.43,2020,01-090-2306,,
19643,F d -3 m Z,Bi2 Ti2 O7,Ca2Nb2O7,"Inorganic Chemistry (2020) 59, (17) p. 12385-12396",10.3827(3) 10.3827(3) 10.3827(3) 90. 90. 90.,298,A2B2X7,Bismuth dititanate,,,7.43,2020,01-090-2308,,
19645,F d -3 m Z,Bi2 Ti2 O7,Bi2Ti2O7,"Inorganic Chemistry (2020) 59, (17) p. 12385-12396",10.3827(3) 10.3827(3) 10.3827(3) 90. 90. 90.,298,A2B2X7,Bismuth dititanate,,,7.43,2020,01-090-2310,,
19687,F d -3 m Z,Gd2 Ti2 O7,Ca2Nb2O7,"Journal of Electron Spectroscopy and Related Phenomena (2019) 234,  p. 5-12",10.1843(5) 10.1843(5) 10.1843(5) 90. 90. 90.,293,A2B2X7,Digadolinium dititanate,,,6.57,2019,01-090-2352,https://doi.org/10.1016/j.elspec.2019.05.004,
19688,F d -3 m Z,(Gd1.6 Ce0.4) Ti2 O7,Ca2Nb2O7,"Journal of Electron Spectroscopy and Related Phenomena (2019) 234,  p. 5-12",10.197(1) 10.197(1) 10.197(1) 90. 90. 90.,293,A2B2X7,"Gadolinium cerium(III,IV) dititanate, oxygen-excess",,,6.46,2019,01-090-2353,,
19689,F d -3 m Z,(Gd1.6 Ce0.4) Ti2 O7,Ca2Nb2O7,"Journal of Electron Spectroscopy and Related Phenomena (2019) 234,  p. 5-12",10.1956(9) 10.1956(9) 10.1956(9) 90. 90. 90.,293,A2B2X7,"Gadolinium cerium(III,IV) dititanate, oxygen-excess",,,6.46,2019,01-090-2354,,
19690,F d -3 m Z,(Gd1.6 Ce0.4) Ti2 O7,Ca2Nb2O7,"Journal of Electron Spectroscopy and Related Phenomena (2019) 234,  p. 5-12",10.175(1) 10.175(1) 10.175(1) 90. 90. 90.,293,A2B2X7,"Gadolinium cerium(III,IV) dititanate, oxygen-excess",,,6.5,2019,01-090-2355,,
19691,F d -3 m Z,(Gd1.6 Ce0.4) Ti2 O7,Ca2Nb2O7,"Journal of Electron Spectroscopy and Related Phenomena (2019) 234,  p. 5-12",10.1911(8) 10.1911(8) 10.1911(8) 90. 90. 90.,293,A2B2X7,"Gadolinium cerium(III,IV) dititanate, oxygen-excess",,,6.47,2019,01-090-2356,,
19766,F d -3 m Z,Ho2 Ge2 O7,Ca2Nb2O7,"RSC Advances (2020) 10, (18) p. 10540-10545",9.8974(3) 9.8974(3) 9.8974(3) 90. 90. 90.,293,A2B2X7,Diholmium digermanate,,,8.04,2020,01-090-2427,https://doi.org/10.1039/C9RA10428C,
22226,F d -3 m Z,Hg2 (Nb2 O7),Ca2Nb2O7,"Inorganic Chemistry (1968) 7,  p. 1704-1708",10.453 10.453 10.453 90. 90. 90.,293,A2B2X7,Dimercury diniobate,,,8.13,1968,01-073-0441,https://doi.org/10.1021/ic50067a003,
24152,F d -3 m Z,Er2 Ti2 O7,Ca2Nb2O7,"Canadian Journal of Chemistry (1965) 43,  p. 2812-2826",10.0762(6) 10.0762(6) 10.0762(6) 90. 90. 90.,293,A2B2X7,Dierbium dititanium oxide,,,7.04,1965,01-073-1647,https://doi.org/10.1139/v65-392,
24193,F d -3 m Z,Y2 Sn2 O7,Ca2Nb2O7,"Canadian Journal of Chemistry (1968) 46,  p. 859-873",10.3725(11) 10.3725(11) 10.3725(11) 90. 90. 90.,293,A2B2X7,Diyttrium ditin(IV) oxide,,,6.28,1968,01-073-1684,https://doi.org/10.1139/v68-148,
24194,F d -3 m Z,Sm2 Sn2 O7,Ca2Nb2O7,"Canadian Journal of Chemistry (1968) 46,  p. 859-873",10.5099(11) 10.5099(11) 10.5099(11) 90. 90. 90.,293,A2B2X7,Disamarium ditin(IV) oxide,,,7.44,1968,01-073-1685,,
24195,F d -3 m Z,La2 Sn2 O7,Ca2Nb2O7,"Canadian Journal of Chemistry (1968) 46,  p. 859-873",10.7005(10) 10.7005(10) 10.7005(10) 90. 90. 90.,293,A2B2X7,Dilanthanum ditin(IV) oxide,,,6.8,1968,01-073-1686,,
24205,F d -3 m Z,Lu2 Ti2 O7,Ca2Nb2O7,"Canadian Journal of Chemistry (1969) 47,  p. 971-990",10.0180(9) 10.0180(9) 10.0180(9) 90. 90. 90.,293,A2B2X7,Lutetium dititanium oxide,,,7.37,1969,01-073-1696,https://doi.org/10.1139/v69-155,
24206,F d -3 m Z,Y2 Ti2 O7,Ca2Nb2O7,"Canadian Journal of Chemistry (1969) 47,  p. 971-990",10.0949(5) 10.0949(5) 10.0949(5) 90. 90. 90.,293,A2B2X7,Yttrium dititanium oxide,,,4.98,1969,01-073-1697,,
24207,F d -3 m Z,Gd2 Ti2 O7,Ca2Nb2O7,"Canadian Journal of Chemistry (1969) 47,  p. 971-990",10.1852(9) 10.1852(9) 10.1852(9) 90. 90. 90.,293,A2B2X7,Digadolinium dititanium oxide,,,6.57,1969,01-073-1698,,
24208,F d -3 m Z,Sm2 Ti2 O7,Ca2Nb2O7,"Canadian Journal of Chemistry (1969) 47,  p. 971-990",10.2331(8) 10.2331(8) 10.2331(8) 90. 90. 90.,293,A2B2X7,Samarium dititanium oxide,,,6.3,1969,01-073-1699,,
24209,F d -3 m Z,Er2 Ti2 O7,Ca2Nb2O7,"Canadian Journal of Chemistry (1969) 47,  p. 971-990",10.0869(1) 10.0869(1) 10.0869(1) 90. 90. 90.,293,A2B2X7,Erbium dititanium oxide,,,7.02,1969,01-073-1700,,
24722,F d -3 m Z,Yb2 Ti2 O7,Ca2Nb2O7,"Journal of the Ceramic Society of Japan (2018) 126, (5) p. 341-345",10.034410(4) 10.034410(4) 10.034410(4) 90. 90. 90.,293,A2B2X7,Diytterbium dititanate,,,7.28,2018,01-090-4444,https://doi.org/10.2109/jcersj2.17253,
24809,F d -3 m Z,Yb2 Ti2 O7,Ca2Nb2O7,"Journal of the Ceramic Society of Japan (2018) 126, (5) p. 341-345",10.133798(2) 10.133798(2) 10.133798(2) 90. 90. 90.,1173,A2B2X7,Diytterbium dititanate,,,7.07,2018,01-090-4445,,
25895,F d -3 m Z,Mg0.89 Ta1.57 Nd1.54 O7,Ca2Nb2O7,"Inorganic Chemistry (2020) 59, (23) p. 17251-17258",10.3967(2) 10.3967(2) 10.3967(2) 90.00 90.00 90.00,293,A2B2X7,Magnesium tantalum neodymium heptoxide,,,7.56,2020,01-090-3254,https://doi.org/10.1021/acs.inorgchem.0c02479,
26762,F d -3 m Z,La2 Zr2 O7,Ca2Nb2O7,"Journal of Alloys and Compounds (2020) 832,   Article ID 154863",10.7516(7) 10.7516(7) 10.7516(7) 90. 90. 90.,293,A2B2X7,Dilanthanum dizirconate,,,6.12,2020,01-090-3306,https://doi.org/10.1016/j.jallcom.2020.154863,
26768,F d -3 m Z,La2 Zr2 O7,Ca2Nb2O7,"Journal of Alloys and Compounds (2020) 832,   Article ID 154863",10.7613(3) 10.7613(3) 10.7613(3) 90. 90. 90.,293,A2B2X7,Dilanthanum dizirconate,,,6.1,2020,01-090-3307,,
26779,F d -3 m Z,La2 Zr2 O7,Ca2Nb2O7,"Journal of Alloys and Compounds (2020) 832,   Article ID 154863",10.8019(4) 10.8019(4) 10.8019(4) 90. 90. 90.,293,A2B2X7,Dilanthanum dizirconate,,,6.03,2020,01-090-3308,,
26799,F d -3 m Z,Nd2 Zr2 O7,Ca2Nb2O7,"Journal of Alloys and Compounds (2020) 832,   Article ID 154863",10.6159(9) 10.6159(9) 10.6159(9) 90. 90. 90.,293,A2B2X7,Dineodymium dizirconate,,,6.47,2020,01-090-3309,,
