Composition,CTE Value,Start Temp (°C),End Temp (°C),paper
(Y0.2Dy0.2Ho0.2Er0.2Yb0.2)3Al5O12,0.00000928,400,100,Zhanqiang Li et al. (2022)
Yb3Al5O2,0.00000783,400,100,Zhanqiang Li et al. (2022)
(Y0.2Yb0.2Lu0.2Eu0.2Er0.2)3Al5O12,0.00000854,400,100,Zhanqiang Li et al. (2022)
(Ho0.25Lu0.25Yb0.25Eu0.25)2SiO5,0.00000495,25,25,Zeyu Chen et al. (2023)
Y3Al5O12,0.00000851,200,1400,Z. Duan et al. (2024)
Lu2Ti2O7,0.0000101,25,1000,http://dx.doi.org/10.1016/j.jallcom.2014.03.153
Yb2Ti2O7,0.0000103,25,1000,http://dx.doi.org/10.1016/j.jallcom.2014.03.153
Tm2Ti2O7,0.0000104,25,1000,http://dx.doi.org/10.1016/j.jallcom.2014.03.153
Er2Ti2O7,0.0000105,25,1000,http://dx.doi.org/10.1016/j.jallcom.2014.03.153
Ho2Ti2O7,0.0000107,25,1000,http://dx.doi.org/10.1016/j.jallcom.2014.03.153
Dy2Ti2O7,0.0000109,25,1000,http://dx.doi.org/10.1016/j.jallcom.2014.03.153
Tb2Ti2O7,0.000011,25,1000,http://dx.doi.org/10.1016/j.jallcom.2014.03.153
Gd2Ti2O7,0.0000111,25,1000,http://dx.doi.org/10.1016/j.jallcom.2014.03.153
Eu2Ti2O7,0.0000112,25,1000,http://dx.doi.org/10.1016/j.jallcom.2014.03.153
Sm2Ti2O7,0.0000112,25,1000,http://dx.doi.org/10.1016/j.jallcom.2014.03.153
Y2Ti2O7,0.0000106,25,1000,http://dx.doi.org/10.1016/j.jallcom.2014.03.153
Gd2Ti2O7,0.0000103,25,1200,10.1016/j.jeurceramsoc.2022.07.006
Er2Sn2O7,0.00000924,25,1000,10.1016/j.mtphys.2024.101622
La2Sn2O7,0.00000862,25,1000,10.1016/j.mtphys.2024.101622
