Composition,Volume (nm^3),rA (Å),rB (Å),rA/rB,xO48f,Lattice constant (Å),Size disorder (δ %),Porosity (%),Grain Size (μm),ρmea (g/cm3),ρcal (g/cm3),Relative density,Direct Band Gap,Indirect Band Gap,Phase,Method,Bulk Modulus (GPa),Shear Modulus (GPa),Vickers Hardness (GPa),Young's Modulus (GPa),Fracture Toughness (Mpa*m^.5),Thermal Expansion (K^-1),Thermal Expansion at high temp,Thermal Conductivity (W/mK),Specific Heat (Jg^−1K^−1),Thermal Diffusivity  (mm² s⁻¹),Activation Energy (eV),Poissons Ratio,Mole Mass (g/mol),Sintering process,Source DOI,Source Title,Year,,,,
Eu2Ti2O7,1.059,1.066,,1.762,,10.1381,,,,6.272,6.419,0.977,,,SP,,,,14.95,282.8,1.384*,,,,,,,0.28,511.66,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.07.006,High-entropy titanate pyrochlore as newly low-thermal conductivity ceramics ,2022,,"*=taken from figure, estimated by AI (ran 5 times then median)",,
Gd2Ti2O7 ,1.0566,1.053,,1.74,,10.1593,,,,6.383,6.565,0.972,,,SP,,,,15.41*,288.7*,1.524*,,,,,,,0.28,522.23,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.07.007,High-entropy titanate pyrochlore as newly low-thermal conductivity ceramics ,2022,,`=unreliable,,
Dy2Ti2O7,1.0321,1.027,,1.698,,10.0492,,,,6.594,6.856,0.962,,,SP,,,,15.46*,291.1*,0.987,,,,,,,0.28,532.73,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.07.008,High-entropy titanate pyrochlore as newly low-thermal conductivity ceramics ,2022,,#=calculed using formula given by paper,,
Y2Ti2O7,1.0287,1.019,,1.684,,10.0616,,,,4.785,4.979,0.961,,,SP,,,,15.74*,291.7*,1.299*,,,1.123,,,,0.28,383.54,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.07.009,High-entropy titanate pyrochlore as newly low-thermal conductivity ceramics ,2022,,,,
Ho2Ti2O7,1.0309,1.015,,1.678,,10.0381,,,,6.761,6.928,0.976,,,SP,,,,15.70*,288.8*,1.266*,,,,,,,0.28,537.59,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.07.010,High-entropy titanate pyrochlore as newly low-thermal conductivity ceramics ,2022,,,,
(Ho1/2Y1/2)2Ti2O7,1.0282,1.017,,1.681,,10.0625,,,,5.783,5.963,0.97,,,P,,,,15.50*,295.9*,1.554*,,,,,,,0.28,461.56,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.07.011,High-entropy titanate pyrochlore as newly low-thermal conductivity ceramics ,2022,,Boltzmann,1.38E-23,m^2kgs^-2K^-1
(Ho1/3Y1/3Dy1/3)2Ti2O7,1.0321,1.02,,1.686,,10.0362,,,,5.833,6.246,0.934,,,P,,,,15.81*,296.3,1.504*,,,1.023,,,,0.28,485.28,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.07.012,High-entropy titanate pyrochlore as newly low-thermal conductivity ceramics ,2022,,Avagadro,6.02E+23,mol^-1
(Ho1/4Y1/4Dy1/4Gd1/4)2Ti2O7,1.0373,1.028,,1.7,,10.0977,,,,6.028,6.333,0.952,,,P,,,,15.47*,291.0*,1.428*,,,,,,,0.28,494.52,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.07.013,High-entropy titanate pyrochlore as newly low-thermal conductivity ceramics ,2022,,,,
(Ho1/5Y1/5Dy1/5Gd1/5Eu1/5)2Ti2O7,1.0408,1.036,,1.712,,10.0768,,,,6.124,6.356,0.963,,,P,,,,15.88,295.5,1.628,1.16E-05,,9.47E-01,,,,0.28,497.95,,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2022.07.014,High-entropy titanate pyrochlore as newly low-thermal conductivity ceramics ,2022,,,,
(Ca2Nb2O7)0(Gd2Zr2O7)1,,,,1.458,,,,,,,,,,,F,,,,6*,213*,2.65*,,,,,,,,,1650 °C/10 h,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2014.10.009 ,Mechanical and thermal properties of simultaneously substituted pyrochlore compounds (Ca2Nb2O7)x(Gd2Zr2O7)1−x ,2014,,,,
(Ca2Nb2O7)0.05(Gd2Zr2O7)0.95,,,,1.474*,,,,,,,,,,,F+P,,,,5.5*,206*,3.12*,,,,,,,,,1650 °C/10 h,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2014.10.009 ,Mechanical and thermal properties of simultaneously substituted pyrochlore compounds (Ca2Nb2O7)x(Gd2Zr2O7)1−x ,2014,,,,
(Ca2Nb2O7)0.25(Gd2Zr2O7)0.75,,,,1.542,,,,,,,,,,,P,,,,8.1*,223*,1.95*,,,,,,,,,1600 °C/10 h,https://doi-org.utk.idm.oclc.org/10.1016/j.jeurceramsoc.2014.10.009 ,Mechanical and thermal properties of simultaneously substituted pyrochlore compounds (Ca2Nb2O7)x(Gd2Zr2O7)1−x ,2014,,,,
