aflow_prototype_params_list_relax,aflow_prototype_params_values_relax,auid,aurl,composition,compound,density,energy_atom,enthalpy_atom,natoms,spin_atom
"a,x4","10.7535,0.412346",aflow:02b83be6fa45621f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2O7Sn2_ICSD_165931,"4,14,4",Eu4O14Sn4,6.97914,-7.60395,-7.60395,22,1.09092
"a,x4","10.615,0.408404",aflow:03cafe802be14a86,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Tb2_ICSD_159789,"14,4,4",O14Sn4Tb4,7.41062,-7.11238,-7.11238,22,0
"a,x4","10.8226,0.363095",aflow:062a523c2f69593e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184090,"4,14,4",La4O14Zr4,5.99694,-8.53523,-8.53523,22,0
"a,x4","10.4531,0.817257",aflow:0772a1c8b599cae6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159800,"4,14,4",Hg4O14Os4,10.3929,-5.47961,-5.47961,22,0.53022
"a,x3,x4","12.6758,0.784033,0.73059",aflow:078ec14056edbac6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C4K2N4Zn1_ICSD_23993,"8,4,8,2",C8K4N8Zn2,1.61528,-6.79284,-6.79284,22,0
"a,x4","10.5101,0.432883",aflow:09ff0d09d272bd58,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2Nb2O7_ICSD_75602,"4,4,14",Cd4Nb4O14,5.98009,-6.96766,-6.96766,22,0
"a,x4","10.7593,0.412651",aflow:0b10e0843fba0a6d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2O7Sn2_ICSD_84754,"4,14,4",Eu4O14Sn4,6.96777,-7.60371,-7.60371,22,1.09084
"a,x4","9.9871,0.831675",aflow:0d1208a0e9f34861,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er2Mn2O7_ICSD_202517,"4,4,14",Er4Mn4O14,7.41997,-7.79849,-7.79849,22,0.545491
"a,x4","10.5206,0.421238",aflow:0e516a9b5a44c7c6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Pr2Ru2_ICSD_78123,"14,4,4",O14Pr4Ru4,6.79873,-7.3744,-7.3744,22,0.727256
"a,x4","10.9692,0.833368",aflow:0e780d73b1b4da8f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Sn2_ICSD_82956,"4,14,4",La4O14Sn4,6.31256,-7.06214,-7.06214,22,0
"a,x4","10.7416,0.437266",aflow:10a6f530f72927cb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Ta2_ICSD_27119,"14,4,4",O14Sn4Ta4,7.62363,-7.95561,-7.95561,22,0
"a,x4","10.8233,0.886918",aflow:114c41b16be2e44f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184091,"4,14,4",La4O14Zr4,5.99581,-8.53523,-8.53523,22,0
