aflow_prototype_params_list_relax,aflow_prototype_params_values_relax,auid,aurl,composition,compound,density,energy_atom,enthalpy_atom,natoms,spin_atom,Egap,Egap_type,spinD,valence_cell_iupac,ael_bulk_modulus_vrh,ael_debye_temperature,ael_poisson_ratio,ael_shear_modulus_vrh,ael_youngs_modulus_vrh,agl_debye,agl_thermal_conductivity_300K,agl_thermal_expansion_300K
"a,x4","10.7535,0.412346",aflow:02b83be6fa45621f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2O7Sn2_ICSD_165931,"4,14,4",Eu4O14Sn4,6.97914,-7.60395,-7.60395,22,1.09092,0.1191,insulator-direct,"6.255,6.255,6.277,6.232,-0.064,-0.064,-0.067,-0.066,-0.063,-0.063,-0.066,-0.067,-0.064,-0.064,-0.063,-0.063,-0.181,-0.181,0,0,0,0.001",56.0,,,,,,,,
"a,x4","10.615,0.408404",aflow:03cafe802be14a86,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Tb2_ICSD_159789,"14,4,4",O14Sn4Tb4,7.41062,-7.11238,-7.11238,22,0.0,2.2263,insulator-direct,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",60.0,,,,,,,,
"a,x4","10.8226,0.363095",aflow:062a523c2f69593e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184090,"4,14,4",La4O14Zr4,5.99694,-8.53523,-8.53523,22,0.0,0.0,metal,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",56.0,,,,,,,,
"a,x4","10.4531,0.817257",aflow:0772a1c8b599cae6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159800,"4,14,4",Hg4O14Os4,10.3929,-5.47961,-5.47961,22,0.53022,0.0,metal,"0.048,0.051,0.048,0.046,0.163,0.147,0.183,0.183,0.161,0.178,0.183,0.183,0.147,0.163,0.161,0.178,0.165,0.165,2.194,2.167,2.195,2.219",76.0,,,,,,,,
"a,x3,x4","12.6758,0.784033,0.73059",aflow:078ec14056edbac6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C4K2N4Zn1_ICSD_23993,"8,4,8,2",C8K4N8Zn2,1.61528,-6.79284,-6.79284,22,0.0,6.0946,insulator-indirect,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",80.0,,,,,,,,
"a,x4","10.5101,0.432883",aflow:09ff0d09d272bd58,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2Nb2O7_ICSD_75602,"4,4,14",Cd4Nb4O14,5.98009,-6.96766,-6.96766,22,0.0,2.0808,insulator-indirect,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",56.0,,,,,,,,
"a,x4","10.7593,0.412651",aflow:0b10e0843fba0a6d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2O7Sn2_ICSD_84754,"4,14,4",Eu4O14Sn4,6.96777,-7.60371,-7.60371,22,1.09084,0.1091,insulator-direct,"6.257,6.257,6.28,6.234,-0.067,-0.067,-0.065,-0.065,-0.063,-0.063,-0.065,-0.065,-0.067,-0.067,-0.063,-0.063,-0.181,-0.181,0,0,0,0.001",56.0,,,,,,,,
"a,x4","9.9871,0.831675",aflow:0d1208a0e9f34861,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er2Mn2O7_ICSD_202517,"4,4,14",Er4Mn4O14,7.41997,-7.79849,-7.79849,22,0.545491,0.9107,insulator-indirect,"0.044,0.043,0.043,0.041,3.245,3.247,3.248,3.25,-0.008,-0.008,-0.095,-0.095,-0.102,-0.106,-0.097,-0.101,-0.106,-0.102,-0.095,-0.095,-0.097,-0.101",68.0,,,,,,,,
"a,x4","10.5206,0.421238",aflow:0e516a9b5a44c7c6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Pr2Ru2_ICSD_78123,"14,4,4",O14Pr4Ru4,6.79873,-7.3744,-7.3744,22,0.727256,0.422,insulator-indirect,"0.075,0.074,0.063,0.076,0.057,0.069,0.076,0.063,0.074,0.075,0.057,0.069,-0.032,-0.032,2.005,2.006,2.006,2.006,1.666,1.678,1.678,1.69",76.0,,,,,,,,
"a,x4","10.9692,0.833368",aflow:0e780d73b1b4da8f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Sn2_ICSD_82956,"4,14,4",La4O14Sn4,6.31256,-7.06214,-7.06214,22,0.0,2.0896,insulator-direct,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",56.0,,,,,,,,
"a,x4","10.7416,0.437266",aflow:10a6f530f72927cb,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Ta2_ICSD_27119,"14,4,4",O14Sn4Ta4,7.62363,-7.95561,-7.95561,22,0.0,1.6339,insulator-indirect,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",64.0,,,,,,,,
"a,x4","10.8233,0.886918",aflow:114c41b16be2e44f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184091,"4,14,4",La4O14Zr4,5.99581,-8.53523,-8.53523,22,0.0,0.0,metal,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",56.0,,,,,,,,
"a,x4","10.8637,0.421529",aflow:11c9372b0f238e69,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf2La2O7_ICSD_236209,"4,4,14",Hf4La4O14,7.73747,-9.3467,-9.3467,22,0.0,4.4659,insulator-direct,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",56.0,,,,,,,,
"a,x4","10.5348,0.817043",aflow:11506721a61caf80,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2Nb2O7_ICSD_72206,"4,4,14",Ca4Nb4O14,4.29451,-8.01923,-8.01923,22,0.0,1.7737,insulator-direct,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",56.0,,,,,,,,
"a,x4","10.453,0.817262",aflow:121f0ee16c60c90a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159804,"4,14,4",Hg4O14Os4,10.3931,-5.47961,-5.47961,22,0.530222,0.0,metal,"0.048,0.051,0.048,0.046,0.163,0.147,0.183,0.183,0.161,0.178,0.183,0.183,0.147,0.163,0.161,0.178,0.165,0.165,2.194,2.167,2.195,2.219",76.0,,,,,,,,
"a,x4","10.563,0.843012",aflow:13ad7152ee2bada8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ho2O7Sn2_ICSD_82961,"4,14,4",Ho4O14Sn4,7.65603,-7.10373,-7.10373,22,0.0,2.1953,insulator-direct,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",56.0,161.428,466.293,0.268858,88.2199,223.877,469.877,4.25834,3.75956e-05
"a,x4","10.5024,0.419969",aflow:13424be793e4ee26,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Ru2_ICSD_73787,"4,14,4",Bi4O14Ru4,8.39541,-6.13347,-6.13347,22,0.363628,0.0,half-metal,"0.054,0.04,0.047,0.047,0.072,0.08,0.057,0.065,0.09,0.09,0.065,0.057,0.08,0.072,0.09,0.09,0.018,0.018,1.651,1.629,1.641,1.64",80.0,,,,,,,,
"a,x4","10.8447,0.834962",aflow:140d3e2656d49b94,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Sn2_ICSD_50311,"4,14,4",Bi4O14Sn4,7.99231,-5.90772,-5.90772,22,0.0,2.6269,insulator-indirect,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",64.0,146.417,386.678,0.302113,66.7544,173.844,389.854,2.57219,4.20948e-05
"a,x4","10.7365,0.418368",aflow:14d786d35c76cb0f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf2Nd2O7_ICSD_236210,"4,4,14",Hf4Nd4O14,8.13024,-9.69325,-9.69325,22,0.545505,3.7692,insulator-indirect,"-0.003,-0.003,-0.003,-0.003,2.968,2.967,2.968,2.968,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.009,-0.039,-0.039",60.0,,,,,,,,
"a,x4","10.4576,0.833735",aflow:148bf06809f995c0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2F1O6Ta2_ICSD_50048,"4,2,12,4",Ca4F2O12Ta4,6.47054,-8.1495,-8.1495,22,0.0902556,0.0,metal,"0.01,0.01,0.01,0.01,0.002,0.002,0.017,0.016,0.015,0.015,0.018,0.017,0.017,0.016,0.017,0.018,0.015,0.015,0.26,0.304,0.307,0.354",54.0,,,,,,,,
"a,x4","10.0566,0.41755",aflow:15306e405a40d418,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er2O7V2_ICSD_160866,"4,14,4",Er4O14V4,7.16276,-8.20866,-8.20866,22,0.181812,0.8473,insulator-indirect,"0.006,0.008,0.007,0.007,-0.028,-0.028,-0.026,-0.026,-0.025,-0.025,-0.026,-0.026,-0.028,-0.028,-0.025,-0.025,0,0,1.042,1.031,1.037,1.037",60.0,,,,,,,,
"a,x4","10.855,0.414142",aflow:151fad1cd73ac6ff,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Pr2Sn2_ICSD_84744,"14,4,4",O14Pr4Sn4,6.55556,-7.22882,-7.22882,22,0.363631,2.1716,insulator-direct,"-0.008,-0.007,-0.007,-0.007,-0.008,-0.008,-0.007,-0.007,-0.007,-0.008,-0.008,-0.008,-0.031,-0.031,1.987,1.987,1.987,1.987,0.001,0.001,0.001,0.001",60.0,,,,,,,,
"a,x4","10.3427,0.822018",aflow:15ae777e26b8ed99,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Os2_ICSD_155771,"4,14,4",Cd4O14Os4,8.61175,-5.83499,-5.83499,22,0.544937,0.0,metal,"0.032,0.033,0.032,0.032,0.167,0.148,0.189,0.189,0.165,0.184,0.189,0.189,0.148,0.167,0.165,0.184,0.121,0.121,2.288,2.273,2.289,2.304",68.0,,,,,,,,
"a,x4","13.1038,0.401451",aflow:191150f658e2756f,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/PPb_dSb/ICSD_27120.ABC,"14,4,4",P14Pb4Sb4,5.16436,-4.17371,-4.17371,22,0.0,,,,,,,,,,,,
"a,x4","12.1707,0.4114",aflow:198820f801249ded,aflowlib.duke.edu:AFLOWDATA/LIB3_WEB/PPtSb/ICSD_108965.ABC,"14,4,4",P14Pt4Sb4,6.26702,-5.07542,-5.07542,22,0.0,,,,,,,,,,,,
"a,x4","10.2515,0.419145",aflow:1a1f97538dbfcd5d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Tb2Ti2_ICSD_159782,"14,4,4",O14Tb4Ti4,6.48135,-8.27693,-8.27693,22,0.0,3.2958,insulator-indirect,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",60.0,,,,,,,,
"a,x4","10.8866,0.833166",aflow:1b18bb6ddec219e1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ce2O7Zr2_ICSD_168600,"4,14,4",Ce4O14Zr4,5.91672,-9.00724,-9.00724,22,0.18181,2.9911,insulator-direct,"0.975,0.974,0.975,0.975,-0.017,-0.017,-0.002,-0.003,-0.003,-0.003,-0.003,-0.002,-0.003,-0.003,-0.003,-0.002,-0.003,-0.002,-0.001,-0.001,-0.001,-0.001",60.0,,,,,,,,
"a,x4","10.4531,0.817257",aflow:1b8f86be95bc181e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159797,"4,14,4",Hg4O14Os4,10.3928,-5.47961,-5.47961,22,0.53022,0.0,metal,"0.048,0.051,0.048,0.046,0.163,0.147,0.183,0.183,0.161,0.178,0.183,0.183,0.147,0.163,0.161,0.178,0.165,0.165,2.194,2.167,2.195,2.219",76.0,,,,,,,,
"a,x4","10.6808,0.839982",aflow:1bd337a4b406d822,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2O7Sn2_ICSD_84753,"4,14,4",Gd4O14Sn4,7.23794,-8.76022,-8.76022,22,1.27273,2.1547,insulator-direct,"7.009,7.011,7.011,7.013,-0.016,-0.016,-0.015,-0.015,-0.016,-0.016,-0.015,-0.015,-0.016,-0.016,-0.016,-0.016,-0.043,-0.043,-0.001,-0.001,-0.001,-0.001",56.0,156.244,462.877,0.271976,84.0285,213.765,464.846,4.03794,3.80546e-05
"a,x4","10.509,0.432754",aflow:1cb434fbbae8abfa,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2Nb2O7_ICSD_9714,"4,4,14",Cd4Nb4O14,5.98209,-6.9677,-6.9677,22,0.0,2.0812,insulator-indirect,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",56.0,,,,,,,,
