aflow_prototype_params_list_relax,aflow_prototype_params_values_relax,auid,aurl,compound,geometry,positions_fractional
"a,x4","10.7535,0.412346",aflow:02b83be6fa45621f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2O7Sn2_ICSD_165931,Eu4O14Sn4,"7.60386,7.60386,7.60386,60,60,60","[0.5, 0.5, 0.5],[0.5, 0, 0],[0.5, 0.5, 0],[0, 0.5, 0],[0.912346, 0.337654, 0.412346],[0.337654, 0.912346, 0.837654],[0.337654, 0.337654, 0.412346],[0.912346, 0.912346, 0.837654],[0.337654, 0.912346, 0.412346],[0.912346, 0.337654, 0.837654],[0.0876541, 0.0876541, 0.162346],[0.662346, 0.662346, 0.587654],[0.662346, 0.0876541, 0.162346],[0.0876541, 0.662346, 0.587654],[0.662346, 0.0876541, 0.587654],[0.0876541, 0.662346, 0.162346],[0.375, 0.375, 0.875],[0.625, 0.625, 0.125],[0, 0, 0],[0, 0.5, 0.5],[0, 0, 0.5],[0.5, 0, 0.5]"
"a,x4","10.615,0.408404",aflow:03cafe802be14a86,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Tb2_ICSD_159789,O14Sn4Tb4,"7.50593,7.50593,7.50593,60,60,60","[0.341596, 0.908404, 0.408404],[0.908404, 0.341596, 0.841596],[0.908404, 0.341596, 0.408404],[0.341596, 0.908404, 0.841596],[0.341596, 0.341596, 0.408404],[0.908404, 0.908404, 0.841596],[0.658404, 0.0915955, 0.158404],[0.0915955, 0.658404, 0.591596],[0.0915955, 0.658404, 0.158404],[0.658404, 0.0915955, 0.591596],[0.658404, 0.658404, 0.591596],[0.0915955, 0.0915955, 0.158404],[0.375, 0.375, 0.875],[0.625, 0.625, 0.125],[0, 0, 0],[0, 0, 0.5],[0.5, 0, 0.5],[0, 0.5, 0.5],[0.5, 0.5, 0.5],[0.5, 0.5, 0],[0, 0.5, 0],[0.5, 0, 0]"
"a,x4","10.8226,0.363095",aflow:062a523c2f69593e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Zr2_ICSD_184090,La4O14Zr4,"7.65273,7.65273,7.65273,60,60,60","[0.5, 0.5, 0.5],[0.5, 0.5, 0],[0, 0.5, 0.5],[0.5, 0, 0.5],[0.636905, 0.113095, 0.636905],[0.113095, 0.636905, 0.113095],[0.113095, 0.636905, 0.636905],[0.636905, 0.113095, 0.113095],[0.636905, 0.636905, 0.113095],[0.113095, 0.113095, 0.636905],[0.363095, 0.886905, 0.886905],[0.886905, 0.363095, 0.363095],[0.886905, 0.363095, 0.886905],[0.363095, 0.886905, 0.363095],[0.363095, 0.363095, 0.886905],[0.886905, 0.886905, 0.363095],[0.875, 0.875, 0.875],[0.125, 0.125, 0.125],[0, 0, 0],[0, 0, 0.5],[0.5, 0, 0],[0, 0.5, 0]"
"a,x4","10.4531,0.817257",aflow:0772a1c8b599cae6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hg2O7Os2_ICSD_159800,Hg4O14Os4,"7.39146,7.39146,7.39146,60,60,60","[0.5, 0.5, 0.5],[0, 0.5, 0],[0.5, 0, 0],[0.5, 0.5, 0],[0.317257, 0.317257, 0.432743],[0.932743, 0.932743, 0.817257],[0.317257, 0.932743, 0.432743],[0.932743, 0.317257, 0.817257],[0.932743, 0.317257, 0.432743],[0.317257, 0.932743, 0.817257],[0.0672573, 0.682743, 0.182743],[0.682743, 0.0672573, 0.567257],[0.0672573, 0.0672573, 0.182743],[0.682743, 0.682743, 0.567257],[0.0672573, 0.682743, 0.567257],[0.682743, 0.0672573, 0.182743],[0.375, 0.375, 0.875],[0.625, 0.625, 0.125],[0, 0, 0],[0.5, 0, 0.5],[0, 0.5, 0.5],[0, 0, 0.5]"
"a,x3,x4","12.6758,0.784033,0.73059",aflow:078ec14056edbac6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/C4K2N4Zn1_ICSD_23993,C8K4N8Zn2,"8.96314,8.96314,8.96314,60,60,60","[0.659033, 0.022902, 0.659033],[0.659033, 0.659033, 0.659033],[0.022902, 0.659033, 0.659033],[0.659033, 0.659033, 0.022902],[0.0909673, 0.0909673, 0.0909673],[0.0909673, 0.727098, 0.0909673],[0.727098, 0.0909673, 0.0909673],[0.0909673, 0.0909673, 0.727098],[0.375, 0.875, 0.375],[0.375, 0.375, 0.375],[0.875, 0.375, 0.375],[0.375, 0.375, 0.875],[0.60559, 0.18323, 0.60559],[0.60559, 0.60559, 0.60559],[0.18323, 0.60559, 0.60559],[0.60559, 0.60559, 0.18323],[0.14441, 0.14441, 0.14441],[0.14441, 0.56677, 0.14441],[0.56677, 0.14441, 0.14441],[0.14441, 0.14441, 0.56677],[0, 0, 0],[0.75, 0.75, 0.75]"
"a,x4","10.5101,0.432883",aflow:09ff0d09d272bd58,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2Nb2O7_ICSD_75602,Cd4Nb4O14,"7.43179,7.43179,7.43179,60,60,60","[0, 0, 0],[0.5, 0, 0],[0, 0.5, 0],[0, 0, 0.5],[0.5, 0.5, 0.5],[0, 0.5, 0.5],[0.5, 0, 0.5],[0.5, 0.5, 0],[0.875, 0.875, 0.875],[0.125, 0.125, 0.125],[0.567117, 0.567117, 0.182883],[0.182883, 0.182883, 0.567117],[0.567117, 0.182883, 0.567117],[0.182883, 0.567117, 0.182883],[0.182883, 0.567117, 0.567117],[0.567117, 0.182883, 0.182883],[0.817117, 0.432883, 0.817117],[0.432883, 0.817117, 0.432883],[0.817117, 0.817117, 0.432883],[0.432883, 0.432883, 0.817117],[0.817117, 0.432883, 0.432883],[0.432883, 0.817117, 0.817117]"
"a,x4","10.7593,0.412651",aflow:0b10e0843fba0a6d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Eu2O7Sn2_ICSD_84754,Eu4O14Sn4,"7.60799,7.60799,7.60799,60,60,60","[0.5, 0.5, 0.5],[0.5, 0, 0],[0.5, 0, 0.5],[0, 0, 0.5],[0.0873491, 0.587349, 0.662651],[0.662651, 0.162651, 0.0873491],[0.662651, 0.587349, 0.662651],[0.0873491, 0.162651, 0.0873491],[0.662651, 0.587349, 0.0873491],[0.0873491, 0.162651, 0.662651],[0.912651, 0.837349, 0.912651],[0.337349, 0.412651, 0.337349],[0.337349, 0.837349, 0.912651],[0.912651, 0.412651, 0.337349],[0.337349, 0.412651, 0.912651],[0.912651, 0.837349, 0.337349],[0.625, 0.125, 0.625],[0.375, 0.875, 0.375],[0, 0, 0],[0, 0.5, 0.5],[0, 0.5, 0],[0.5, 0.5, 0]"
"a,x4","9.9871,0.831675",aflow:0d1208a0e9f34861,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Er2Mn2O7_ICSD_202517,Er4Mn4O14,"7.06194,7.06194,7.06194,60,60,60","[0.5, 0.5, 0.5],[0.5, 0, 0.5],[0.5, 0.5, 0],[0, 0.5, 0.5],[0, 0, 0],[0, 0.5, 0],[0, 0, 0.5],[0.5, 0, 0],[0.625, 0.625, 0.625],[0.375, 0.375, 0.375],[0.0816747, 0.668325, 0.668325],[0.668325, 0.0816747, 0.0816747],[0.668325, 0.668325, 0.0816747],[0.0816747, 0.0816747, 0.668325],[0.668325, 0.0816747, 0.668325],[0.0816747, 0.668325, 0.0816747],[0.918325, 0.918325, 0.331675],[0.331675, 0.331675, 0.918325],[0.331675, 0.918325, 0.918325],[0.918325, 0.331675, 0.331675],[0.331675, 0.918325, 0.331675],[0.918325, 0.331675, 0.918325]"
"a,x4","10.5206,0.421238",aflow:0e516a9b5a44c7c6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Pr2Ru2_ICSD_78123,O14Pr4Ru4,"7.43919,7.43919,7.43919,60,60,60","[0.796238, 0.203762, 0.203762],[0.203762, 0.796238, 0.796238],[0.203762, 0.796238, 0.203762],[0.796238, 0.203762, 0.796238],[0.203762, 0.203762, 0.796238],[0.796238, 0.796238, 0.203762],[0.453762, 0.0462377, 0.453762],[0.0462377, 0.453762, 0.0462377],[0.0462377, 0.453762, 0.453762],[0.453762, 0.0462377, 0.0462377],[0.0462377, 0.0462377, 0.453762],[0.453762, 0.453762, 0.0462377],[0.5, 0.5, 0.5],[0.75, 0.75, 0.75],[0.625, 0.625, 0.625],[0.625, 0.625, 0.125],[0.625, 0.125, 0.625],[0.125, 0.625, 0.625],[0.125, 0.125, 0.125],[0.125, 0.125, 0.625],[0.125, 0.625, 0.125],[0.625, 0.125, 0.125]"
"a,x4","10.9692,0.833368",aflow:0e780d73b1b4da8f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Sn2_ICSD_82956,La4O14Sn4,"7.75643,7.75643,7.75643,60,60,60","[0.5, 0.5, 0.5],[0, 0.5, 0],[0, 0, 0.5],[0, 0.5, 0.5],[0.583368, 0.666632, 0.666632],[0.166632, 0.0833675, 0.0833675],[0.583368, 0.0833675, 0.666632],[0.166632, 0.666632, 0.0833675],[0.583368, 0.666632, 0.0833675],[0.166632, 0.0833675, 0.666632],[0.833368, 0.333368, 0.916632],[0.416632, 0.916632, 0.333368],[0.833368, 0.916632, 0.916632],[0.416632, 0.333368, 0.333368],[0.416632, 0.333368, 0.916632],[0.833368, 0.916632, 0.333368],[0.125, 0.625, 0.625],[0.875, 0.375, 0.375],[0, 0, 0],[0.5, 0, 0.5],[0.5, 0.5, 0],[0.5, 0, 0]"
