Egap,Egap_type,ael_bulk_modulus_vrh,ael_debye_temperature,ael_poisson_ratio,ael_shear_modulus_vrh,ael_youngs_modulus_vrh,aflow_prototype_params_list_relax,aflow_prototype_params_values_relax,agl_debye,agl_thermal_conductivity_300K,agl_thermal_expansion_300K,auid,aurl,compound,spinD,spin_atom,valence_cell_iupac
2.1953,insulator-direct,161.428,466.293,0.268858,88.2199,223.877,"a,x4","10.563,0.843012",469.877,4.25834,3.75956e-05,aflow:13ad7152ee2bada8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ho2O7Sn2_ICSD_82961,Ho4O14Sn4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
2.6269,insulator-indirect,146.417,386.678,0.302113,66.7544,173.844,"a,x4","10.8447,0.834962",389.854,2.57219,4.20948e-05,aflow:140d3e2656d49b94,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Bi2O7Sn2_ICSD_50311,Bi4O14Sn4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,64
2.1547,insulator-direct,156.244,462.877,0.271976,84.0285,213.765,"a,x4","10.6808,0.839982",464.846,4.03794,3.80546e-05,aflow:1bd337a4b406d822,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Gd2O7Sn2_ICSD_84753,Gd4O14Sn4,"7.009,7.011,7.011,7.013,-0.016,-0.016,-0.015,-0.015,-0.016,-0.016,-0.015,-0.015,-0.016,-0.016,-0.016,-0.016,-0.043,-0.043,-0.001,-0.001,-0.001,-0.001",1.27273,56
0.9008,insulator-indirect,153.906,537.441,0.267117,84.8588,215.052,"a,x4","10.1665,0.831106",561.802,3.85683,4.31175e-05,aflow:20c791ce08b3aaab,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Co2O7Sb2_ICSD_247302,Co4O14Sb4,"2.817,2.818,2.817,2.816,0.024,0.023,0.023,0.023,0.023,0.024,0.023,0.023,0.023,0.024,0.023,0.024,0.088,0.088,0.002,0.002,0.002,0.002",0.545441,68
3.2266,insulator-indirect,173.039,451.486,0.263349,97.2411,245.699,"a,x4","10.5017,0.838027",473.059,5.90862,3.03805e-05,aflow:213fbef41f8612df,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy2Hf2O7_ICSD_162004,Dy4Hf4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,60
1.9621,insulator-indirect,181.711,415.209,0.361121,55.6214,151.415,"a,x4","10.2211,0.892333",435.886,2.66189,3.44397e-05,aflow:27893b56ecab0821,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2Nb2O7_ICSD_33672,Cd4Nb4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
3.1166,insulator-indirect,171.933,448.315,0.263298,96.6444,244.181,"a,x4","10.4824,0.838738",471.953,5.91332,3.0352e-05,aflow:2abe19acdd8fcd02,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Hf2Ho2O7_ICSD_162005,Hf4Ho4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
0.8556,insulator-indirect,175.067,643.793,0.252137,103.964,260.355,"a,x4","10.054,0.419891",626.856,4.72584,4.22069e-05,aflow:3a4a6876faf133b0,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Mn2O7Y2_ICSD_202516,Mn4O14Y4,"3.259,3.261,3.258,3.259,-0.008,-0.008,-0.098,-0.098,-0.105,-0.109,-0.104,-0.1,-0.109,-0.105,-0.098,-0.098,-0.104,-0.1,0.022,0.022,0.023,0.022",0.545395,68
0.5524,insulator-indirect,189.472,477.496,0.293876,90.5528,234.328,"a,x4","10.2314,0.838808",486.072,4.36323,3.41245e-05,aflow:3add5c3f5522b969,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ho2O7Ru2_ICSD_96730,Ho4O14Ru4,"0.054,0.054,0.054,0.055,0.069,0.07,0.059,0.072,0.054,0.067,0.072,0.059,0.07,0.069,0.054,0.067,-0.001,-0.001,1.721,1.71,1.71,1.7",0.363642,72
0.8117,insulator-indirect,190.278,534.909,0.283648,96.211,247.002,"a,x4","10.1121,0.831213",547.997,3.03527,4.04488e-05,aflow:3d1f3040f69c29a8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Dy2O7V2_ICSD_160863,Dy4O14V4,"0.006,0.005,0.006,0.006,-0.029,-0.028,-0.025,-0.025,-0.027,-0.027,-0.025,-0.025,-0.028,-0.029,-0.027,-0.027,0,0,1.04,1.045,1.04,1.034",0.181793,64
2.1174,insulator-indirect,154.061,447.629,0.269643,83.8562,212.935,"a,x4","10.5344,0.432483",499.029,5.6234,3.0619e-05,aflow:3d7ea012d0f48467,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2O7Ta2_ICSD_27123,Cd4O14Ta4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
2.2472,insulator-direct,158.75,521.542,0.272128,85.3089,217.048,"a,x4","10.6063,0.408248",524.155,4.57745,3.68026e-05,aflow:43a95bb7cd8a43ac,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/O7Sn2Y2_ICSD_153817,O14Sn4Y4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
2.0818,insulator-indirect,147.989,499.656,0.274997,78.3483,199.788,"a,x4","10.508,0.817316",554.954,5.67356,3.15246e-05,aflow:45da11711f06cd30,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cd2Nb2O7_ICSD_27122,Cd4Nb4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
2.0853,insulator-direct,146.589,454.677,0.282543,74.5631,191.261,"a,x4","10.9722,0.833292",454.023,3.44255,3.93351e-05,aflow:47f7fd7233cdb705,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/La2O7Sn2_ICSD_24195,La4O14Sn4,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
1.7677,insulator-direct,142.278,639.795,0.23249,92.6434,228.364,"a,x4","10.5375,0.817079",705,8.92748,2.85335e-05,aflow:4aaabc9e717d320e,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ca2Nb2O7_ICSD_22411,Ca4Nb4O14,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",0,56
