,Composition,Sample A,Sample B,Thermal Conductivity (W/m/K),Lattice Parameter (Angstrom),Density,Energy per Atom,Formation Energy per Atom,Enthalpy,Magnetic Moment,Band Gap,Band Gap Type,Valence,Bulk Modulus (VRH),Shear Modulus (VRH),Youngs Modulus (VRH),Poisson Ratio,AEL Debye Temperature,Temperature,Thermal Expansion,Energy Above Hull,Ionic Radius A (Angstrom),Ionic Radius B (Angstrom),Electronegativity A,Electronegativity B,Synthesis Method,compound_type,data_source
530,La2Ti2O7,La,Ti,5.5638,10.6069,5.40576,-8.17553,,-8.17553,0.0,3.2676,insulator-indirect,56.0,169.15,87.087,222.992,0.280282,549.063,,3.1944e-05,,,,,,DFT,pristine,aflow
542,La2Ti2O7,La,Ti,,10.6086,5.40326,-8.17525,,-8.17525,0.0,3.2614,insulator-indirect,56.0,,,,,,,,,,,,,DFT,pristine,aflow
691,La2Ti2O7,La,Ti,,10.48702,5.5925,-9.215348425454543,-3.733646127424242,,0.000950999999999,2.746600000000001,indirect,,,,,,,,,0.050363342045455,,,,,DFT,pristine,mp
15,La2Sn2O7,La,Sn,,10.7005,,,,,,,,,,,,,,293.0,,,,,,,,pristine,icsd_literature
66,La2Sn2O7,La,Sn,,10.7026,,,,,,,,,,,,,,295.0,,,,,,,,pristine,icsd_literature
236,La2Sn2O7,La,Sn,,10.6846,,,,,,,,,,,,,,293.0,,,,,,,,pristine,icsd_literature
311,La2Sn2O7,La,Sn,,10.7106,,,,,,,,,,,,,,298.0,,,,,,,,pristine,icsd_literature
485,La2Sn2O7,La,Sn,,10.9692,6.31256,-7.06214,,-7.06214,0.0,2.0896,insulator-direct,56.0,,,,,,,,,,,,,DFT,pristine,aflow
510,La2Sn2O7,La,Sn,,10.9715,6.30861,-7.06214,,-7.06214,0.0,2.0855,insulator-direct,56.0,,,,,,,,,,,,,DFT,pristine,aflow
521,La2Sn2O7,La,Sn,3.44255,10.9722,6.30751,-7.06209,,-7.06209,0.0,2.0853,insulator-direct,56.0,146.589,74.5631,191.261,0.282543,454.677,,3.93351e-05,,,,,,DFT,pristine,aflow
562,La2Sn2O7,La,Sn,,10.9637,6.32217,-7.06211,,-7.06211,0.0,2.1006,insulator-direct,56.0,,,,,,,,,,,,,DFT,pristine,aflow
689,La2Sn2O7,La,Sn,,10.728399,6.7477,-7.792445157272726,-3.0172737977272712,,0.0,2.664499999999999,indirect,,,,,,,,,0.0,,,,,DFT,pristine,mp
3,Y2Ti2O7,Y,Ti,,10.0896,,,,,,,,,,,,,,293.0,,,,,,,,pristine,icsd_literature
5,Y2Ti2O7,Y,Ti,,10.0896,,,,,,,,,,,,,,293.0,,,,,,,,pristine,icsd_literature
17,Y2Ti2O7,Y,Ti,,10.0949,,,,,,,,,,,,,,293.0,,,,,,,,pristine,icsd_literature
43,Y2Ti2O7,Y,Ti,,10.0896,,,,,,,,,,,,,,293.0,,,,,,,,pristine,icsd_literature
46,Y2Ti2O7,Y,Ti,,10.20951,,,,,,,,,,,,,,293.0,,,,,,,,pristine,icsd_literature
57,Y2Ti2O7,Y,Ti,,10.0947,,,,,,,,,,,,,,293.0,,,,,,,,pristine,icsd_literature
79,Y2Ti2O7,Y,Ti,,10.0986,,,,,,,,,,,,,,293.0,,,,,,,,pristine,icsd_literature
92,Y2Ti2O7,Y,Ti,,10.0904,,,,,,,,,,,,,,293.0,,,,,,,,pristine,icsd_literature
140,Y2Ti2O7,Y,Ti,,10.094,,,,,,,,,,,,,,293.0,,,,,,,,pristine,icsd_literature
154,Y2Ti2O7,Y,Ti,,10.0974,,,,,,,,,,,,,,298.15,,,,,,,,pristine,icsd_literature
186,Y2Ti2O7,Y,Ti,,10.1004,,,,,,,,,,,,,,293.0,,,,,,,,pristine,icsd_literature
187,Y2Ti2O7,Y,Ti,,10.1095,,,,,,,,,,,,,,293.0,,,,,,,,pristine,icsd_literature
188,Y2Ti2O7,Y,Ti,,10.1281,,,,,,,,,,,,,,293.0,,,,,,,,pristine,icsd_literature
189,Y2Ti2O7,Y,Ti,,10.161,,,,,,,,,,,,,,293.0,,,,,,,,pristine,icsd_literature
200,Y2Ti2O7,Y,Ti,,10.09877,,,,,,,,,,,,,,293.0,,,,,,,,pristine,icsd_literature
201,Y2Ti2O7,Y,Ti,,10.0979,,,,,,,,,,,,,,293.0,,,,,,,,pristine,icsd_literature
299,Y2Ti2O7,Y,Ti,,10.1002,,,,,,,,,,,,,,293.0,,,,,,,,pristine,icsd_literature
304,Y2Ti2O7,Y,Ti,,10.094,,,,,,,,,,,,,,293.0,,,,,,,,pristine,icsd_literature
364,Y2Ti2O7,Y,Ti,,10.0971,,,,,,,,,,,,,,293.0,,,,,,,,pristine,icsd_literature
