Element,Material_ID,Atomic Mass,Electronegativity,Atomic Radius,Space_Group,Space_Group_Symbol,Density,Volume,Lattice_Parameter_a,Band_Gap,Is Magnetic,Total Magnetization,Melting Point,Thermal Expansion,Thermal Conductivity,Vickers Hardness,Bulk Modulus,Youngs Modulus,Shear Modulus,Poissons Ratio,Metallic Radius,Universal Anisotropy
Ac,mp-10018,227.0,1.1,1.95,225.0,Fm-3m,8.157868492478817,46.205987384126566,4.027829901198107,0.0,False,,1323.0,,12.0,,23.574,,13.226,0.264,,0.736
Re,mp-8642,186.207,1.9,1.35,225.0,Fm-3m,20.799270174290974,14.866098464771099,2.759967934759709,0.0,False,,3459.0,6.2e-06,48.0,2450.0,363.048,463.0,195.364,0.272,1.37,0.295
Hf,mp-8640,178.49,1.3,1.55,225.0,Fm-3m,13.269194630565776,22.336669757544524,3.1611456591682017,0.0,False,,2506.0,5.9e-06,23.0,1760.0,102.549,78.0,45.446,0.307,1.59,1.069
W,mp-11334,183.84,2.36,1.35,223.0,Pm-3n,18.825351069915953,129.7286839630197,5.06227038,0.0,False,,3695.0,4.5e-06,170.0,3430.0,298.22,411.0,134.395,0.304,1.39,0.8160000000000001
Ca,mp-21,40.078,1.0,1.8,229.0,Im-3m,1.558186821803846,42.710594052600456,3.814046916801365,0.0,False,,1115.0,2.23e-05,200.0,,15.845,20.0,-6.284,0.729,1.97,-6.224
Cr,mp-17,51.9961,1.66,1.4,223.0,Pm-3n,7.518781767685299,91.86760105479368,4.51219083,0.0,False,,2180.0,4.9e-06,94.0,1060.0,252.155,279.0,116.144,0.30000000000000004,1.28,0.523
Mg,mp-1056702,24.305,1.31,1.5,225.0,Fm-3m,1.7852438391223184,22.60722103370626,3.1738572726371928,0.0,False,,923.0,8.2e-06,160.0,,45.0,45.0,,0.29,1.6,
Ga,mp-569423,69.723,1.81,1.3,220.0,I-43d,6.481163502764141,107.18238981590072,5.183007121193918,0.0,False,,302.91,0.00012,29.0,,62.324,,38.547,0.244,1.35,0.018000000000000002
Ba,mp-10679,137.327,0.89,2.15,225.0,Fm-3m,3.37514884836634,67.56349392648343,4.5716777978133365,0.0,False,,1000.0,2.06e-05,18.0,,9.6,13.0,,,2.22,
Th,mp-11343,232.03806,1.3,1.8,229.0,Im-3m,11.710839352254915,32.90184866486211,3.4963431953474204,0.0,False,,2115.0,1.1e-05,54.0,350.0,56.969,79.0,-86.184,2.026,1.79,-5.364
Mo,mp-8637,95.94,2.16,1.45,225.0,Fm-3m,10.126615779666679,15.732019634048816,2.8125479063028487,0.0,False,,2896.0,4.8e-06,139.0,1530.0,242.484,329.0,-4.159,0.509,1.39,-12.068
Er,mp-10752,167.259,1.24,1.75,225.0,Fm-3m,9.106171309240018,30.500206365178713,3.507027468514685,0.0,False,,1802.0,1.22e-05,15.0,589.0,42.186,70.0,26.865,0.23700000000000002,1.761,0.514
Nb,mp-8636,92.90638,1.6,1.45,225.0,Fm-3m,8.191931947382725,18.83251408005379,2.9863522271897502,0.0,False,,2750.0,7.3e-06,54.0,1320.0,167.391,105.0,-82.909,0.797,1.46,0.8140000000000001
Pt,mp-2646979,195.084,2.28,1.35,229.0,Im-3m,20.368745567161255,15.904003643869789,2.7439495303667667,0.0,False,,2041.4,8.8e-06,72.0,549.0,230.0,168.0,,0.38,1.385,
V,mp-8632,50.9415,1.63,1.35,225.0,Fm-3m,6.201746060997392,13.639763729020526,2.6818876231735547,0.0,False,,2183.0,8.4e-06,31.0,628.0,176.702,128.0,-24.16,0.5720000000000001,1.34,-262.692
Tc,mp-8638,98.0,1.9,1.35,225.0,Fm-3m,11.358061228851016,14.327518180725818,2.7262265950702034,0.0,False,,2430.0,,51.0,,298.021,,140.215,0.297,1.36,0.276
Ra,,226.0,0.9,2.15,,,,,,,,,973.0,,19.0,,,,,,,
Tl,mp-39,204.3833,1.62,1.9,229.0,Im-3m,11.33786227920608,29.93390167626574,3.387882782556313,0.0,False,,577.0,2.99e-05,46.0,,27.941,8.0,3.464,0.44,1.7,-5.139
Np,mp-10207,237.0,1.36,1.75,229.0,Im-3m,24.000161863968202,16.397712713966275,2.772053804676401,0.0,False,,910.0,,6.0,,,,,,1.55,
Pb,,207.2,2.33,1.8,,,,,,,,,600.61,2.89e-05,35.0,,46.0,16.0,,0.44,,
Zn,mp-2646972,65.409,1.65,1.35,225.0,Fm-3m,7.160073464621751,15.169425355152562,2.7786128662251603,0.0,False,,692.68,3.02e-05,120.0,,70.0,108.0,,0.25,1.34,
Sr,mp-76,87.62,0.95,2.0,225.0,Fm-3m,2.6058298843230694,55.834969924203925,4.290163493145989,0.0,False,,1050.0,2.25e-05,35.0,,10.978,,5.411,0.28800000000000003,2.15,3.07
Rh,mp-2647000,102.9055,2.28,1.35,229.0,Im-3m,11.618475712984058,14.707488949327848,2.673335550992991,0.0,True,0.3683047,2237.0,8.2e-06,150.0,1246.0,380.0,275.0,,0.26,1.34,
Nd,mp-159,144.242,1.14,1.85,225.0,Fm-3m,6.775283027246966,35.35195141161264,3.6839145757233633,0.0,False,,1297.0,9.6e-06,17.0,343.0,31.862,41.0,18.911,0.252,1.814,0.85
Co,,58.933195,1.88,1.35,,,,,,,,,1768.0,1.3e-05,100.0,1043.0,180.0,209.0,,0.31,1.25,
Eu,mp-623532,151.964,1.2,1.85,225.0,Fm-3m,5.813971269520838,43.402718618896046,3.94466991728401,0.0,False,,1099.0,3.5e-05,14.0,167.0,8.3,18.0,,0.15,1.804,
Pr,mp-97,140.90765,1.13,1.85,152.0,P3_121,6.276136276343673,223.68793247843672,3.76547422,0.0,False,,1208.0,6.7e-06,13.0,400.0,32.21,37.0,16.891,0.277,1.824,0.806
Tm,mp-10660,168.93421,1.25,1.75,225.0,Fm-3m,9.33013154237113,30.066227309678933,3.490314577704884,0.0,False,,1818.0,1.33e-05,17.0,520.0,45.0,74.0,,0.21,1.759,
Ni,mp-1008728,58.6934,1.91,1.35,229.0,Im-3m,9.196826333970177,10.597425704098887,2.3966654972590486,0.0,False,,1728.0,1.34e-05,91.0,638.0,192.55,200.0,-48.912,0.639,1.24,-7.213
Ta,mp-50,180.94788,1.5,1.45,229.0,Im-3m,16.57316469871799,18.129972738489144,2.8664184427230914,0.0,False,,3290.0,6.3e-06,57.0,873.0,194.527,186.0,64.83,0.35000000000000003,1.46,0.08700000000000001
Pa,mp-10740,231.03588,1.5,1.8,225.0,Fm-3m,15.214974776156339,25.2149024698699,3.291476720179471,0.0,False,,1841.0,,47.0,,94.772,,50.133,0.275,1.63,2.904
La,mp-156,138.90547,1.1,1.95,225.0,Fm-3m,6.118440896443958,37.69881310053244,3.763692872639949,0.0,False,,1193.0,1.21e-05,13.0,491.0,20.188,37.0,14.36,0.213,1.87,0.458
Au,mp-2647062,196.966569,2.54,1.35,229.0,Im-3m,17.963981800686724,18.207025965875985,2.8704741098088657,0.0,False,,1337.33,1.42e-05,320.0,216.0,220.0,78.0,,0.44,1.44,
Al,mp-998860,26.9815386,1.61,1.25,229.0,Im-3m,2.780137042647564,16.11571598722545,2.756071617033191,0.0,False,,933.47,2.31e-05,235.0,167.0,70.361,70.0,48.263,0.221,1.43,-5.032
Bk,,247.0,1.3,,,,,,,,,,1259.0,,10.0,,,,,,1.7,
Sm,mp-21377,150.36,1.17,1.85,225.0,Fm-3m,7.3800498870123885,33.831567296340694,3.6346060319865745,0.0,False,,1345.0,1.27e-05,13.0,412.0,36.46,50.0,22.798000000000002,0.241,1.804,0.883
Cu,mp-998890,63.546,1.9,1.35,229.0,Im-3m,9.20926433728872,11.458093915963799,2.461078073834178,0.0,False,,1357.77,1.65e-05,400.0,369.0,139.175,130.0,19.372,0.433,1.28,-18.662
Ir,mp-2647047,192.217,2.2,1.35,229.0,Im-3m,21.038255554436834,15.171592406257359,2.7011644113182003,0.0,True,0.4461558,2739.0,6.4e-06,150.0,1760.0,320.0,528.0,,0.26,1.355,
Tb,mp-7163,158.92535,1.1,1.75,225.0,Fm-3m,8.245722323040109,32.00468586959248,3.563769754510399,0.0,False,,1629.0,1.03e-05,11.0,863.0,40.344,56.0,25.572,0.23800000000000002,1.773,0.734
O,,15.9994,3.44,0.6,,,,,,,,,54.8,,0.02658,,,,,,,
Sc,mp-36,44.955912,1.36,1.6,225.0,Fm-3m,2.9628039990967365,25.196080563441974,3.2909623130998478,0.0,False,,1814.0,1.02e-05,16.0,,50.651,74.0,22.413,0.307,1.62,0.791
Pd,mp-2646977,106.42,2.2,1.4,229.0,Im-3m,11.366371918638988,15.547139314057057,2.723270575775202,0.0,False,,1828.05,1.18e-05,72.0,461.0,180.0,121.0,,0.39,1.37,
Gd,mp-614502,157.25,1.2,1.8,225.0,Fm-3m,7.551189110276166,34.579953537691246,3.6569005411132287,0.0,False,,1585.0,9.4e-06,11.0,570.0,38.0,55.0,,0.26,1.804,
No,,259.0,1.3,,,,,,,,,,1100.0,,,,,,,,,
Yb,mp-71,173.04,1.1,1.75,229.0,Im-3m,9.484970016005237,30.294210735621792,3.4014219579025617,0.0,True,0.5603848,1097.0,2.63e-05,39.0,206.0,15.868,24.0,10.038,0.23900000000000002,1.76,9.305
Zr,mp-8635,91.224,1.33,1.55,225.0,Fm-3m,6.521418063354173,23.228232656080714,3.202656128633177,0.0,False,,2128.0,5.7e-06,23.0,903.0,89.974,68.0,29.84,0.35100000000000003,1.6,1.369
Cf,,251.0,1.3,,,,,,,,,,1173.0,,,,,,,,1.86,
Te,mp-10654,127.6,2.1,1.4,26.0,Pmc2_1,6.542868782091695,129.5363194653305,3.15652018,0.0,False,,722.66,,3.0,,50.533,43.0,5.86,0.444,,3.245
Hg,mp-1017981,200.59,2.0,1.5,229.0,Im-3m,12.334025740446531,108.0223242091609,5.365233954358635,0.0,False,,234.32,,8.3,,24.448,,2.877,0.443,1.51,0.0
