material_id,formula_pretty,composition,elements,a_lattice,b_lattice,c_lattice,volume,density,crystal_system,space_group_symbol,space_group_number,point_group,band_gap,cbm,vbm,is_gap_direct,total_magnetization,energy_above_hull,formation_energy_per_atom,energy_per_atom,bulk_modulus,shear_modulus,homogeneous_poisson,dielectric_constant,last_updated,deprecated
mp-1101257,Tm2Pt2O7,Tm4 Pt4 O14,"O, Pt, Tm",10.090605,10.090605,10.090605,1027.4287,10.8613,Cubic,Fd-3m,227,m-3m,1.4709,5.1862,3.7153,False,0.0,0.0,-2.489978588181823,-7.557523736818186,,,,,2025-09-23 22:47:32.228000+00:00,False
mp-1190246,Ir2Pb2O7,Ir4 Pb4 O14,"Ir, O, Pb",10.297138,10.297138,10.297138,1091.8163,11.0822,Cubic,Fd-3m,227,m-3m,0.15200000000000002,6.1577,6.0057,False,0.0,0.0,-1.425466649999997,-6.8561838804545445,,,,,2025-09-23 22:47:32.286000+00:00,False
mp-1190299,Nd2Ir2O7,Nd4 Ir4 O14,"Ir, Nd, O",10.410386,10.410355,10.409975,1128.1895,9.2427,Cubic,Fd-3m,227,m-3m,0.0,,,False,4.024081,0.0,-2.432281358636364,-8.054907745909093,,,,,2025-09-23 22:47:32.290000+00:00,False
mp-1178365,Dy2Pt2O7,Dy4 Pt4 O14,"Dy, O, Pt",10.188881,10.188881,10.188881,1057.7413,10.3885,Cubic,Fd-3m,227,m-3m,1.5345,5.255,3.7205,False,0.0,0.0,-2.458439323939394,-7.550688845000002,,,,,2025-09-23 22:47:32.279000+00:00,False
mp-1190424,Dy2Mo2O7,Dy4 Mo4 O14,"Dy, Mo, O",10.258931,10.258931,10.258931,1079.708,7.7374,Cubic,Fd-3m,227,m-3m,0.0,,,False,7.9999999,0.011552227272719,-2.911589593484849,-8.87193307636364,,,,,2025-09-23 22:47:32.295000+00:00,False
mp-1178177,Ho2V2O7,Ho4 V4 O14,"Ho, O, V",9.971611,9.971611,9.971611,991.5076,7.2851,Cubic,Fd-3m,227,m-3m,1.2503,4.2805,3.0302,False,4.0000001,0.009340272954544001,-3.241677890909092,-8.877941355000003,,,,,2025-09-23 22:47:32.276000+00:00,False
mp-1190245,Gd2Hf2O7,Gd4 Hf4 O14,"Gd, Hf, O",10.511892,10.511893,10.511894,1161.563,8.9602,Cubic,Fd-3m,227,m-3m,2.8263,5.0534,2.2271,False,28.0000014,0.0,-3.999542177272729,-11.51793759318182,,,,,2025-09-23 22:47:32.285000+00:00,False
mp-1190115,Ca2Sb2O7,Ca4 Sb4 O14,"Ca, O, Sb",10.329127,10.329131,10.32917,1102.0285,5.2518,Cubic,Fd-3m,227,m-3m,0.0,,,False,0.0013838,0.029278214090902,-2.565169754545453,-6.829254234090908,,,,,2025-09-23 22:47:32.284000+00:00,False
mp-1190319,In2Ge2O7,In4 Ge4 O14,"Ge, In, O",9.740504,9.740504,9.740504,924.154,6.9991,Cubic,Fd-3m,227,m-3m,1.049399999999999,6.7600999999999996,5.7107,False,9e-07,0.043403249545451,-2.039348652121211,-6.530269582272727,,,,,2025-09-23 22:47:32.292000+00:00,False
mp-1178175,Ho2Pb2O7,Ho4 Pb4 O14,"Ho, O, Pb",10.629093,10.629093,10.629093,1200.8498,9.4723,Cubic,Fd-3m,227,m-3m,1.1706,4.7915,3.6209,True,0.0,0.0,-2.546348146818181,-7.206019065454546,,,,,2025-09-23 22:47:32.275000+00:00,False
