Composition,Sample A,Sample B,Oxidation State A,Oxidation State B,Thermal Conductivity (W/m/K),Lattice Parameter (Angstrom),Density,Energy per Atom,Formation Energy per Atom,Enthalpy,Magnetic Moment,Band Gap,Band Gap Type,Valence,Bulk Modulus (VRH),Shear Modulus (VRH),Youngs Modulus (VRH),Poisson Ratio,AEL Debye Temperature,Temperature,Thermal Expansion,Energy Above Hull,Ionic Radius A (Angstrom),Ionic Radius B (Angstrom),Electronegativity A,Electronegativity B,Synthesis Method,compound_type,data_source
Bi1Os1O6,Bi,Os,3.0,4.0,4.7189825341888625,10.5427,10.3204,-6.48016,,-6.48016,0.363217,0.0,half-metal,80.0,163.16011699342707,82.32043128037603,210.4609451750789,0.29618991918353466,425.27082042889424,,3.30433300159432e-05,,1.17,0.63,2.02,2.2,DFT,pristine,aflow
Bi1Pt1O6,Bi,Pt,3.0,4.0,2.68623,10.52845,10.4735,-5.468465,,-5.468465,0.0,1.06885,insulator-indirect,72.0,176.456,78.0858,204.145,0.30718,376.326,,3.88883e-05,,1.17,0.625,2.02,2.28,DFT,pristine,aflow
Bi1Rh1O6,Bi,Rh,3.0,4.0,2.65083,10.3891,8.71659,-5.69159,,-5.69159,0.0,0.0,metal,72.0,172.622,70.5491,186.271,0.320155,397.336,,3.95615e-05,,1.17,0.6,2.02,2.28,DFT,pristine,aflow
Bi1Ru1O6,Bi,Ru,3.0,4.0,5.56583,10.483416666666669,8.441805,-6.124216666666666,,-6.124216666666666,0.3030218333333333,0.0,"half-metal, metal",80.0,171.0195,83.61845,215.147,0.290246,433.665,,3.05928e-05,,1.17,0.62,2.02,2.2,DFT,pristine,aflow
Sn1Bi1O6,Bi,Sn,3.0,4.0,2.57219,10.845233333333333,7.991153333333333,-5.907666666666667,,-5.907666666666667,0.0,2.622733333333333,insulator-indirect,64.0,146.417,66.7544,173.844,0.302113,386.678,,4.20948e-05,,1.17,0.69,2.02,1.96,DFT,pristine,aflow
Ti1Bi1O6,Bi,Ti,3.0,4.0,3.89553,10.4728,7.23694,-7.037265,,-7.037265,0.0,2.8934,insulator-indirect,64.0,168.367,74.5479,194.881,0.307087,444.704,,3.47288e-05,,1.17,0.605,2.02,1.54,DFT,pristine,aflow
Ca1Nb1O6,Ca,Nb,2.0,5.0,8.92748,10.53615,4.29289,-8.01924,,-8.01924,0.0,1.7707000000000002,insulator-direct,56.0,142.278,92.6434,228.364,0.23249,639.795,,2.85335e-05,,1.12,0.64,1.0,1.6,DFT,pristine,aflow
Ca1Ru1O6,Ca,Ru,2.0,5.0,5.501705499790274,10.3491,4.72556,-6.3851,,-6.3851,0.545259,0.0,half-metal,68.0,170.93052855236488,84.78654944046322,219.55702372679133,0.27780505616333184,585.5222702679139,,3.7017119472785263e-05,,1.12,0.565,1.0,2.2,DFT,pristine,aflow
Ca1Ta1O6,Ca,Ta,2.0,5.0,8.30922,10.5611,6.24837,-8.43551,,-8.43551,0.0,2.4623,insulator-direct,56.0,148.233,97.7883,240.483,0.229612,543.52,,2.88566e-05,,1.12,0.64,1.0,1.5,DFT,pristine,aflow
Nb1Cd1O6,Cd,Nb,2.0,5.0,4.167725,10.48016,6.034097999999999,-6.939546,,-6.939546,0.0,2.0695,insulator-indirect,56.0,164.85000000000002,66.98485,175.6015,0.318059,457.4325,,3.298215e-05,,1.1,0.64,1.69,1.6,DFT,pristine,aflow
Cd1Os1O6,Cd,Os,2.0,5.0,4.03228509925901,10.343146153846153,8.610566923076924,-5.834991538461539,,-5.834991538461539,0.5449436923076924,0.0,metal,68.0,175.3035024347152,81.95500187088382,211.12281962718464,0.2918747824277225,428.7877323987759,,3.626590233999624e-05,,1.1,0.575,1.69,2.2,DFT,pristine,aflow
Cd1Re1O6,Cd,Re,2.0,5.0,4.765761615972791,10.3749,8.43657,-6.39711,,-6.39711,0.363636,0.0,half-metal,64.0,170.97421013470841,81.44519283664195,210.6143892290094,0.2907815721410445,447.87150069152676,,3.548742985404477e-05,,1.1,0.58,1.69,1.9,DFT,pristine,aflow
Cd1Ru1O6,Cd,Ru,2.0,5.0,3.9612692115633585,10.2978,6.55629,-5.37023,,-5.37023,0.54467,0.0,metal,68.0,175.15933582838394,81.6173730904682,208.97181467435368,0.29402773284546513,480.6421559650568,,3.7627521072337565e-05,,1.1,0.565,1.69,2.2,DFT,pristine,aflow
Ta1Cd1O6,Cd,Ta,2.0,5.0,5.6234,10.53495,7.938465,-7.383245,,-7.383245,0.0,2.11695,insulator-indirect,56.0,154.061,83.8562,212.935,0.269643,447.629,,3.0619e-05,,1.1,0.64,1.69,1.5,DFT,pristine,aflow
Cd1Tc1O6,Cd,Tc,2.0,5.0,3.945974997172698,10.3363,6.4313,-5.89121,,-5.89121,0.363774,0.0,half-metal,64.0,170.13871650858582,77.84709308495427,200.2882409301862,0.29258605229342377,485.0354382144505,,3.641648099745011e-05,,1.1,0.6,1.69,1.9,DFT,pristine,aflow
Ce1Zr1O6,Ce,Zr,3.0,4.0,5.55353749773784,10.88522857142857,5.919001428571428,-9.007245714285714,,-9.007245714285714,0.18181,3.0009,insulator-direct,60.0,159.1252828907631,84.74053005635879,214.49038717956788,0.2743288505929468,489.3221724429445,,3.104029502536976e-05,,1.143,0.72,1.12,1.33,DFT,pristine,aflow
Dy1Hf1O6,Dy,Hf,3.0,4.0,5.90862,10.50315,9.103075,-9.374025,,-9.374025,0.0,3.22585,insulator-indirect,60.0,173.039,97.2411,245.699,0.263349,451.486,,3.03805e-05,,1.027,0.71,1.23,1.3,DFT,pristine,aflow
Dy1Ru1O6,Dy,Ru,3.0,4.0,4.26953,10.2617,7.85734,-7.36566,,-7.36566,0.363662,0.553,insulator-indirect,76.0,189.467,89.748,232.529,0.295453,477.88,,3.42479e-05,,1.027,0.62,1.23,2.2,DFT,pristine,aflow
Dy1Sn1O6,Dy,Sn,3.0,4.0,4.15721,10.5885,7.5463,-7.10839,,-7.10839,0.0,2.2102,insulator-direct,60.0,160.956,87.0731,221.311,0.270836,465.501,,3.76102e-05,,1.027,0.69,1.23,1.96,DFT,pristine,aflow
Dy1Tc1O6,Dy,Tc,3.0,4.0,5.00051,10.3373,7.63422,-7.88166,,-7.88166,0.545465,1.3957,insulator-indirect_spin-polarized,72.0,186.522,95.8064,245.403,0.280721,497.247,,3.28746e-05,,1.027,0.645,1.23,1.9,DFT,pristine,aflow
Dy1Ti1O6,Dy,Ti,3.0,4.0,6.58296,10.2224,6.62585,-8.27656,,-8.27656,0.0,3.2411,insulator-indirect,60.0,185.922,102.479,259.719,0.267179,558.223,,3.10801e-05,,1.027,0.605,1.23,1.54,DFT,pristine,aflow
Er1Hf1O6,Er,Hf,3.0,4.0,5.98782,10.4568,9.33528,-9.36257,,-9.36257,0.0,3.0089,insulator-indirect,56.0,172.767,97.5229,246.237,0.262457,448.492,,3.03539e-05,,1.004,0.71,1.24,1.3,DFT,pristine,aflow
Er1Mn1O6,Er,Mn,3.0,4.0,4.989436675997718,9.9871,7.41997,-7.79849,,-7.79849,0.545491,0.9107,insulator-indirect,68.0,177.02489746630937,101.63674573692676,255.5778198211873,0.27036979355973995,537.0072263839122,,4.151601469177253e-05,,1.004,0.53,1.24,1.55,DFT,pristine,aflow
Er1Ru1O6,Er,Ru,3.0,4.0,4.33276,10.2086,8.09935,-7.37072,,-7.37072,0.363641,0.555,insulator-indirect,72.0,191.189,90.4173,234.315,0.295739,474.893,,3.41074e-05,,1.004,0.62,1.24,2.2,DFT,pristine,aflow
Er1Sn1O6,Er,Sn,3.0,4.0,4.27273,10.5375,7.76459,-7.10082,,-7.10082,0.0,2.173,insulator-direct,56.0,161.939,88.3115,224.183,0.269272,464.382,,3.75243e-05,,1.004,0.69,1.24,1.96,DFT,pristine,aflow
Er1Tc1O6,Er,Tc,3.0,4.0,5.35573,10.2867,7.86351,-7.88249,,-7.88249,0.545477,1.2928,insulator-indirect_spin-polarized,68.0,185.906,99.3199,252.919,0.273255,501.298,,3.2543e-05,,1.004,0.645,1.24,1.9,DFT,pristine,aflow
Er1Ti1O6,Er,Ti,3.0,4.0,6.62512,10.170649999999998,6.8477175,-8.275365,,-8.275365,0.0,3.108,insulator-indirect,56.0,187.311,103.383,261.956,0.266916,554.34,,3.10007e-05,,1.004,0.605,1.24,1.54,DFT,pristine,aflow
Eu1Hf1O6,Eu,Hf,3.0,4.0,5.319041261619768,10.6796,8.42934,-9.88435,,-9.88435,1.09097,0.1378,insulator-direct,56.0,162.57327535391175,84.3697438045468,216.02873858499768,0.2794634638872856,456.4241578180397,,3.537006832545034e-05,,1.066,0.71,1.2,1.3,DFT,pristine,aflow
